ID;Name;global_id;OnTerritoryOfMoscow;AdmArea;District;Address;Longitude_WGS84;Latitude_WGS84;ContactPhone;GraveType;ObjectArea;ObjectStatus;geoData
92;Преображенское кладбище;4856104;да;Восточный административный округ;район Преображенское;улица Преображенский вал, вл. 17А;37.719868;55.791854;(499) 161-12-01;урной в открытый колумбарий, гробом в землю;16.5;закрытое;{type=Point, coordinates=[37.719868, 55.791854]}
93;Прокшинское кладбище;4856105;да;Новомосковский административный округ;поселение Сосенское;деревня Прокшино;37.442131;55.579759;(495) 448-67-88;гробом в землю;3.1;закрытое;{type=Point, coordinates=[37.442131, 55.579759]}
94;Пучково кладбище;4856106;да;Троицкий административный округ;поселение Первомайское;деревня Пучково;37.268960;55.485450;(495) 952-47-37;гробом в землю;1.8;закрытое;{type=Point, coordinates=[37.26896, 55.48545]}
95;Пыхтинское кладбище;4856107;да;Новомосковский административный округ;поселение Внуковское;деревня Пыхтино;37.298117;55.626045;(495) 448-67-88;гробом в землю;25;закрытое;{type=Point, coordinates=[37.298117, 55.626045]}
96;Пятницкое кладбище;4856108;да;Северо-Восточный административный округ;Алексеевский район;Дроболитейный переулок, дом 3, строение 1;37.639084;55.799861;(495) 687-34-61;урной в землю, урной в саркофаг, гробом в землю;14.3;закрытое;{type=Point, coordinates=[37.639084, 55.799861]}
97;Раево кладбище;4856109;да;Троицкий административный округ;поселение Краснопахорское;деревня Раево, строение 1;37.336686;55.429367;(495) 232-40-21;гробом в землю;0.7;закрытое;{type=Point, coordinates=[37.336686, 55.429367]}
98;Раевское кладбище;4856110;да;Северо-Восточный административный округ;Бабушкинский район;Олонецкий проезд, дом 4, корпус 2;37.658344;55.872227;(499) 188-42-46;урной в землю, гробом в землю;2.9;закрытое;{type=Point, coordinates=[37.658344, 55.872227]}
99;Ракитки кладбище;4856111;да;Новомосковский административный округ;поселение Десеновское;в районе д. Десна;37.392869;55.537818;(495) 448-67-88;гробом в землю;33.3;закрытое;{type=Point, coordinates=[37.392869, 55.537818]}
100;Рогожское кладбище;4856112;да;Юго-Восточный административный округ;Нижегородский район;улица Войтовича, вл. 31А;37.701580;55.740811;(495) 361-49-00;урной в открытый колумбарий, урной в землю, гробом в землю;9.6;закрытое;{type=Point, coordinates=[37.70158, 55.740811]}
101;Рождественно кладбище;4856113;да;Троицкий административный округ;поселение Роговское;деревня Рождественно;37.063805;55.195361;(495) 232-40-21;гробом в землю;4.9;закрытое;{type=Point, coordinates=[37.063805, 55.195361]}
102;Николо-Хованское кладбище;4856114;да;Новомосковский административный округ;поселение Сосенское;поселение Сосенское, в районе Николо-Хованского кладбища, уч. № 27;37.43377;55.60625;(495) 448-67-88;гробом в землю;5.7;закрытое;{type=Point, coordinates=[37.43377, 55.60625]}
104;Руднево кладбище;4856116;да;Троицкий административный округ;поселение Новофедоровское;деревня Руднево;36.962813;55.426793;(495) 952-47-37;гробом в землю;2.5;закрытое;{type=Point, coordinates=[36.962813, 55.426793]}
105;Саларьевское кладбище;4856117;да;Новомосковский административный округ;поселение Московский;деревня Саларьево, дом 9;37.436687;55.620479;(495) 448-67-88;гробом в землю;1.6;закрытое;{type=Point, coordinates=[37.436687, 55.620479]}
106;Сальково кладбище;4856118;да;Троицкий административный округ;поселение Кленовское;деревня Сальково;37.400979;55.323705;(495) 232-40-21;гробом в землю;0.6;закрытое;{type=Point, coordinates=[37.400979, 55.323705]}
107;Сатино-Русское кладбище;4856119;да;Троицкий административный округ;поселение Щаповское;деревня Сатино-Русское;37.355027;55.376404;(495) 232-40-21;гробом в землю;1.5;закрытое;{type=Point, coordinates=[37.355027, 55.376404]}
108;Свитино кладбище;4856120;да;Троицкий административный округ;поселение Вороновское;село Свитино;37.072323;55.321238;(495) 232-40-21;гробом в землю;1.8;закрытое;{type=Point, coordinates=[37.072323, 55.321238]}
109;Середневское кладбище;4856121;да;Новомосковский административный округ;поселение Филимонковское;деревня Середнево;37.282090;55.564055;(495) 448-67-88;гробом в землю;0.5;закрытое;{type=Point, coordinates=[37.28209, 55.564055]}
110;Сосенское кладбище;4856122;да;Новомосковский административный округ;поселение Сосенское;деревня Сосенки;37.453613;55.559772;(495) 448-67-88;гробом в землю;4.5;закрытое;{type=Point, coordinates=[37.453613, 55.559772]}
111;Спас-Купля кладбище;4856123;да;Троицкий административный округ;поселение Роговское;деревня Спас-Купля;37.088007;55.231031;(495) 232-40-21;гробом в землю;0.6;закрытое;{type=Point, coordinates=[37.088007, 55.231031]}
112;Станиславское кладбище;4856124;да;Новомосковский административный округ;поселение Десеновское;деревня Станиславль;37.365827;55.524365;(495) 448-67-88;гробом в землю;1.1;закрытое;{type=Point, coordinates=[37.365827, 55.524365]}
113;Старо-Марковское кладбище;4856125;да;Северо-Восточный административный округ;район Северный;Дмитровское шоссе, владение 124А;37.557910;55.926092;(499) 188-42-46;урной в землю, гробом в землю;9.7;закрытое;{type=Point, coordinates=[37.55791, 55.926092]}
114;Старо-Покровское кладбище;4856126;да;Южный административный округ;район Чертаново Центральное;1-й Дорожный проезд, вл. 10;37.634529;55.596498;(495) 383-43-38;урной в землю, гробом в землю;0.9;закрытое;{type=Point, coordinates=[37.634529, 55.596498]}
115;Товарищево-1 кладбище;4856127;да;Троицкий административный округ;поселение Кленовское;дер. Товарищево;37.280679;55.355849;(495) 232-40-21;гробом в землю;0.5;закрытое;{type=Point, coordinates=[37.280679, 55.355849]}
116;Троекуровское кладбище;4856128;да;Западный административный округ;район Очаково-Матвеевское;Рябиновая улица, вл. 24;37.408646;55.700187;(495) 448-87-87;урной в землю, гробом в землю;29.4;закрытое;{type=Point, coordinates=[37.408646, 55.700187]}
