number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
3990,Автобус,Остановка,ПР. КУЛЬТУРЫ,ПР. КУЛЬТУРЫ,"Просвещения пр., Культуры пр.","60,99,121,","60.045382,30.372945"
3991,Автобус,Остановка,ПР. КУЛЬТУРЫ,ПР. КУЛЬТУРЫ,"Суздальский пр., Культуры пр.","1М,1МА,40,61,69,93,98,102,103,153,183,","60.052455,30.383495"
3992,Троллейбус,Остановка,Пр. Культуры ,ПР. КУЛЬТУРЫ,"проспект Культуры, проспект Луначарского","4,21","60.035640,30.365830"
3993,Трамвай,Остановка,Пр. Культуры Т ,ПР. КУЛЬТУРЫ,"проспект Просвещения, проспект Культуры",100,"60.044990,30.373260"
3994,Трамвай,Остановка,Пр. Культуры Т ,ПР. КУЛЬТУРЫ,"Просвещения, Культуры","61,100,","60.044603,30.375567"
3995,Трамвай,Остановка,Пр. Культуры Т ,ПР. КУЛЬТУРЫ,"Луначарского пр., Культуры пр.","9,55,58,100,","60.036180,30.365420"
3996,Трамвай,Остановка,Пр. Культуры Т ,ПР. КУЛЬТУРЫ,"Придорожная аллея, Суздальский проспект","20,58,","60.052125,30.377998"
3997,Автобус,Остановка,ПР. КУЛЬТУРЫ ПО ПР. ЛУНАЧАРСКОГО [178],ПР. КУЛЬТУРЫ ПО ПР. ЛУНАЧАРСКОГО,"Луначарского пр., Культуры пр.",178,"60.036454,30.365181"
3998,Автобус,Остановка,ПР. КУЛЬТУРЫ ПО ПР. ЛУНАЧАРСКОГО [178]<,ПР. КУЛЬТУРЫ ПО ПР. ЛУНАЧАРСКОГО,"Луначарского пр., Культуры пр.",178,"60.035713,30.367434"
3999,Автобус,Остановка,ПР. КУЛЬТУРЫ УГ. ПР. ПРОСВЕЩЕНИЯ,ПР. КУЛЬТУРЫ УГ. ПР. ПРОСВЕЩЕНИЯ,"Культуры пр., проспект Просвещения","99,139,","60.045045,30.375604"
4000,Автобус,Остановка,ПР. КУЛЬТУРЫ УГ. ПРИДОРОЖНОЙ АЛЛЕИ [178],ПР. КУЛЬТУРЫ УГ. ПРИДОРОЖНОЙ АЛЛЕИ,"Придорожная аллея, Суздальский пр.","69,К-157,178,","60.051946,30.378408"
4001,Автобус,Остановка,ПР. КУЛЬТУРЫ УГ.ПР. ПРОСВЕЩЕНИЯ [178]<,ПР. КУЛЬТУРЫ УГ.ПР. ПРОСВЕЩЕНИЯ,"Просвещения пр., Культуры пр.","60,121,139,","60.044283,30.375774"
4002,Трамвай,Остановка,"Пр. Культуры, 11 T ","ПР. КУЛЬТУРЫ, 11",Культуры пр.,"20,61,100,","60.040720,30.370090"
4003,Трамвай,Остановка,"Пр. Культуры, 11 T ","ПР. КУЛЬТУРЫ, 11",Культуры,"20,58,61,100,","60.040592,30.370183"
4004,Трамвай,Остановка,"Пр. Культуры, 26 T ","ПР. КУЛЬТУРЫ, 26",Культуры,"20,58,","60.048814,30.377356"
