number,type_of_vehicle,object_type,name_stopping,the_official_name,location,routes,coordinates
1,Автобус,Остановка,"1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О. [7]<","1 ЛИНИЯ, УГ. БОЛЬШОГО ПР. В.О.","1-я и Кадетская линии, Большой ВО Проспект",7,"59.940931,30.291578"
2,Автобус,Остановка,1 ОЗЕРО,1 ОЗЕРО,Александровское ш.,494,"60.170616,30.013345"
3,Автобус,Остановка,1 ОЗЕРО,1 ОЗЕРО,Александровское ш.,494,"60.170715,30.012932"
4,Автобус,Остановка,10 И 11 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,10 И 11 ЛИНИИ ПО НАБ. Л. ШМИДТА,"Лейтенанта Шмидта наб., 10-11-я линии",1,"59.934947,30.280089"
5,Автобус,Остановка,10 КМ,10 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.833013,29.740341"
6,Автобус,Остановка,10 КМ,10 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.833138,29.741076"
7,Автобус,Остановка,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]",10 КМ,Таллинское ш.,"145,145А,147,165,442,458,458Б,481,482,482В,484,","59.773368,30.125112"
8,Автобус,Остановка,"10 КМ [145, 165, 482, 482а, 482в, 484, 484б]<",10 КМ,Таллинское ш.,"145,145А,147,165,442,458,458Б,481,482,482В,484,","59.774014,30.126242"
9,Автобус,Остановка,"10 КМ., ПО ТРЕБОВАНИЮ","10 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.248758,29.400056"
10,Автобус,Остановка,"10 КМ., ПО ТРЕБОВАНИЮ","10 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.248466,29.399831"
11,Автобус,Остановка,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,"Лермонтовский пр., 10-я Красноармейская ул.","10,43,","59.912532,30.297362"
12,Автобус,Остановка,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,10-Я КРАСНОАРМЕЙСКАЯ УЛ.,"Лермонтовский пр., 10-я Красноармейская ул.","10,43,","59.913072,30.297680"
13,Троллейбус,Остановка,10-я Красноармейская улица ,10-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Лермонтовский, Красноармейская 11-я","3,8,","59.912008,30.297431"
14,Троллейбус,Остановка,10-я Красноармейская улица ,10-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Лермонтовский, Красноармейская 10-я","3,8,","59.913225,30.297700"
15,Автобус,Остановка,10-я СОВЕТСКАЯ УЛ.,10-Я СОВЕТСКАЯ УЛ.,"Новгородская ул., 10-я Советская ул.","15,46,55,","59.934421,30.384330"
16,Автобус,Остановка,11 КМ,11 КМ,Красносельское шоссе,"273,301,","59.722167,30.265562"
17,Автобус,Остановка,11 КМ,11 КМ,Красносельское шоссе,"273,301,","59.721248,30.268051"
18,Автобус,Остановка,12 КМ,12 КМ,,"433,436,567,","60.185572,30.315796"
19,Автобус,Остановка,12 КМ<,12 КМ,,"433,436,567,","60.185520,30.315211"
20,Автобус,Остановка,12-13 ЛИНИИ  [6],12-13 ЛИНИИ ,"Средний пр., 12-13-я линии","3М,3МА,6,","59.941117,30.271756"
21,Автобус,Остановка,12-13 ЛИНИИ В.О. [],12-13 ЛИНИИ В.О.,"Малый проспект В.О., 12-13-я линии","47,100,","59.944835,30.267044"
22,Автобус,Остановка,12-13 ЛИНИИ В.О. []<,12-13 ЛИНИИ В.О.,"Малый проспект В.О., 12-13-я линии","47,100,","59.944733,30.266004"
23,Трамвай,Остановка,12-13-я линии T ,12-13-Я ЛИНИИ,"Средний, 12-13-я линии","6,40,","59.940800,30.270700"
24,Трамвай,Остановка,12-13-я линии T ,12-13-Я ЛИНИИ,"Средний, 12-13-я линии","6,40,","59.941022,30.271183"
25,Троллейбус,Остановка,12-13-я линии В.О. ,12-13-Я ЛИНИИ В.О.,"Малый пр. В.О., 12-13-я линии",9,"59.944664,30.265856"
26,Троллейбус,Остановка,12-13-я линии В.О. ,12-13-Я ЛИНИИ В.О.,"Малый пр. В.О., 12-13-я линии",9,"59.944939,30.267475"
27,Автобус,Остановка,13 КМ,13 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.813725,29.712502"
28,Автобус,Остановка,13 КМ,13 КМ,Гостилицкое ш.,"463,463А,489,682,683,683А,684,686,687,","59.813409,29.711901"
29,Автобус,Остановка,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА [1]<,14 И 15 ЛИНИИ ПО НАБ. Л. ШМИДТА,"Лейтенанта Шмидта наб., 14-15-я линии",1,"59.933278,30.275750"
30,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761863,30.628161"
31,Автобус,Остановка,14 КМ,14 КМ,"Первомайская улица, Лагерное шоссе",331,"59.761771,30.627812"
32,Автобус,Остановка,14-15 ЛИНИИ В.О.,14-15 ЛИНИИ В.О.,"Средний пр., 15-я линия","3М,3МА,6,42,","59.940179,30.268002"
33,Автобус,Остановка,15 КМ,15 КМ,,"433,436,567,","60.211780,30.303640"
34,Автобус,Остановка,"15 КМ, ПО ТРЕБОВАНИЮ",15 КМ,Лагерное шоссе,"328,335,335А,438,438З,","59.766239,30.640912"
35,Автобус,Остановка,"15 КМ, ПО ТРЕБОВАНИЮ",15 КМ,Лагерное шоссе,"328,335,335А,438,438З,","59.766391,30.640054"
36,Автобус,Остановка,15 КМ<,15 КМ,,"433,436,567,","60.211879,30.302838"
37,Автобус,Остановка,"16 И 17 ЛИНИИ [7, 1]",16 И 17 ЛИНИИ,"Большой пр. В.О., Большой ВО Проспект","1,7,42,128,151,","59.935551,30.271146"
38,Автобус,Остановка,16 КВАРТАЛ,16 КВАРТАЛ,Кронштадтское шоссе,"1Кр,2КР,2Л,101,175,215,406,","60.002505,29.757505"
39,Автобус,Остановка,16 КВАРТАЛ [101]<,16 КВАРТАЛ,Кронштадтское шоссе,"2КР,2Л,3Кр,101,175,215,406,","60.002725,29.757231"
40,Автобус,Остановка,16-17-Я ЛИНИИ В.О.,16-17-Я ЛИНИИ В.О.,"Большой пр. В.О., Большой ВО Проспект","7,41,128,152,","59.935450,30.269890"
41,Автобус,Остановка,16-17-Я ЛИНИИ В.О. []<,16-17-Я ЛИНИИ В.О.,"Малый проспект В.О., 16-17-я линии","47,100,","59.943212,30.260682"
42,Троллейбус,Остановка,16-17-я линии В.О. ,16-17-Я ЛИНИИ В.О.,"Большой проспект В.О., 16-17-я линии В.О.","10,11,","59.935570,30.271220"
43,Троллейбус,Остановка,16-17-я линии В.О. ,16-17-Я ЛИНИИ В.О.,"Большой пр. В.О., Большой ВО Проспект","10,11,","59.935300,30.269400"
44,Автобус,Остановка,"17 КМ., ПО ТРЕБОВАНИЮ","17 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.277862,29.328952"
45,Автобус,Остановка,"17 КМ., ПО ТРЕБОВАНИЮ","17 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.277612,29.328828"
46,Автобус,Остановка,18 КМ,18 КМ,Приозерское шоссе,"433,436,567,","60.225120,30.272031"
47,Автобус,Остановка,18 КМ ,18 КМ ,Приозерское шоссе,"433,436,567,","60.225085,30.272836"
48,Автобус,Остановка,"18 КМ., ПО ТРЕБОВАНИЮ","18 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,420,420А,420Б,","60.167134,29.414713"
49,Автобус,Остановка,"18 КМ., ПО ТРЕБОВАНИЮ <","18 КМ., ПО ТРЕБОВАНИЮ <",A-123,"213,420,420А,420Б,","60.166899,29.414971"
50,Автобус,Остановка,18-19 ЛИНИИ [6],18-19 ЛИНИИ,"Средний пр., 18-19-я линии","3М,3МА,6,","59.938795,30.264141"
51,Автобус,Остановка,18-19 ЛИНИИ [6]<,18-19 ЛИНИИ,"Средний пр., 18-19-я линии","3М,3МА,6,42,","59.938693,30.263081"
52,Автобус,Остановка,18-19-Я ЛИНИИ В.О.,18-19-Я ЛИНИИ В.О.,"Малый проспект В.О., 18-19-я линии В.О.","47,100,","59.942360,30.258380"
53,Троллейбус,Остановка,18-19-я линии В.О. ,18-19-Я ЛИНИИ В.О.,"Малый пр. В.О., 18-19-я линии",9,"59.942600,30.259400"
54,Троллейбус,Остановка,18-19-я линии В.О. ,18-19-Я ЛИНИИ В.О.,"Малый пр. В.О., 18-19-я линии",9,"59.942900,30.259700"
55,Автобус,Остановка,18-19-Я ЛИНИИ ПО НАБ. ЛЕЙТЕНАНТА ШМИДТА,18-19-Я ЛИНИИ ПО НАБ. ЛЕЙТЕНАНТА ШМИДТА,"набережная Лейтенанта Шмидта, 16-17-я линии В.О.",1,"59.932003,30.273126"
56,Автобус,Остановка,19 КМ,19 КМ,Приозерское ш.,"436,567,","60.231359,30.262702"
57,Автобус,Остановка,19 КМ,19 КМ,,454,"59.716431,29.822613"
58,Автобус,Остановка,19 КМ<,19 КМ,Приозерское ш.,"436,567,","60.231365,30.262045"
59,Автобус,Остановка,19 КМ {],19 КМ {],,454,"59.716593,29.822259"
60,Автобус,Остановка,"19 КМ., ПО ТРЕБОВАНИЮ","19 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,420,420А,420Б,","60.169750,29.394170"
61,Автобус,Остановка,"19 КМ., ПО ТРЕБОВАНИЮ","19 КМ., ПО ТРЕБОВАНИЮ",A-123,"213,420,420А,420Б,","60.169570,29.394090"
62,Автобус,Остановка,1-Й БАДАЕВСКИЙ ПРОЕЗД,1-Й БАДАЕВСКИЙ ПРОЕЗД,"Московское шоссе, 2-й Бадаевский проезд","179,192,196,197,388,","59.803212,30.395767"
63,Автобус,Остановка,1-Й БАДАЕВСКИЙ ПРОЕЗД,1-Й БАДАЕВСКИЙ ПРОЕЗД,Железнодорожная улица,"179,192,196,388,","59.802620,30.395458"
64,Автобус,Остановка,1-Й ВЕРХНИЙ ПЕР.,1-Й ВЕРХНИЙ ПЕР.,"1-й Верхний переулок, проспект Культуры","99,139,","60.055927,30.382467"
65,Трамвай,Остановка,1-й Медицинский институт T ,1-Й МЕДИЦИНСКИЙ ИНСТИТУТ,"Льва Толстого, Рентгена",40,"59.965261,30.318858"
66,Трамвай,Остановка,1-й Медицинский институт T ,1-Й МЕДИЦИНСКИЙ ИНСТИТУТ,"улица Льва Толстого, улица Рентгена",40,"59.965250,30.320100"
67,Автобус,Остановка,1-Й МУРИНСКИЙ ПР.,1-Й МУРИНСКИЙ ПР.,"Большой Сампсониевский пр., 1-й Муринский пр.",86,"59.988708,30.333669"
68,Автобус,Остановка,1-Й МУРИНСКИЙ ПР. [86]<,1-Й МУРИНСКИЙ ПР.,"Большой Сампсониевский пр., 1-й Муринский пр.",86,"59.988030,30.333558"
69,Трамвай,Остановка,1-й Муринский пр. T ,1-й Муринский пр.,"1-й Муринский проспект, Большой Сампсониевский проспект","20,48,","59.988400,30.334510"
70,Трамвай,Остановка,1-й Муринский пр. Т ,1-й Муринский пр.,"Лесной пр., 1-й Муринский проспект","20,61,","59.988756,30.340622"
71,Трамвай,Остановка,1-я и Кадетская линии T ,1-Я И КАДЕТСКАЯ ЛИНИИ,"Средний, Репина","6,40,","59.945072,30.285322"
72,Автобус,Остановка,1-Я И КАДЕТСКАЯ ЛИНИИ В.О.,1-Я И КАДЕТСКАЯ ЛИНИИ В.О.,"Кадетская и 1-я линии В.О., Магдалинский переулок","1,3МА,47,","59.946740,30.284043"
73,Трамвай,Остановка,"1-я и Кадетская линии. Метро ""Спортивная"" Т ","1-Я И КАДЕТСКАЯ ЛИНИИ. МЕТРО ""СПОРТИВНАЯ""","Кадетская и 1-я линии В.О., Кадетская линия В.О.","6,40,","59.947290,30.284110"
74,Троллейбус,Остановка,"1-я и Кадетская линии. Метро ""Спортивная"" ","1-Я И КАДЕТСКАЯ ЛИНИИ. СТАНЦИЯ МЕТРО ""СПОРТИВНАЯ""","Кадетская и 1-я линии В.О., Магдалинский переулок",1,"59.946830,30.284720"
75,Троллейбус,Остановка,"1-я и Кадетская линии. Метро ""Спортивная"" ","1-Я И КАДЕТСКАЯ ЛИНИИ. СТАНЦИЯ МЕТРО ""СПОРТИВНАЯ""","Кадетская и 1-я линии В.О., Магдалинский переулок",1,"59.947070,30.283970"
76,Автобус,Остановка,"1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР. [6]","1-Я И КАДЕТСКАЯ ЛИНИЯ,УГ. СРЕДНЕГО ПР.","1-я и Кадетская линии, Репина ул.","3М,3МА,6,24,47,","59.944534,30.287010"
77,Автобус,Остановка,1-Я КОННАЯ ЛАХТА,1-Я КОННАЯ ЛАХТА,Коннолахтинский проспектГраничная улица,"112,К-210,К-232,","60.006755,30.124864"
78,Автобус,Остановка,1-Я КОННАЯ ЛАХТА,1-Я КОННАЯ ЛАХТА,Коннолахтинский проспектГраничная улица,"112,К-210,К-232,","60.006338,30.125627"
79,Автобус,Остановка,1-Я КРАСНОАРМЕЙСКАЯ УЛ. [71],1-Я КРАСНОАРМЕЙСКАЯ УЛ.,"ул. 1-я Красноармейская, Советский пер.","1М,1МБ,71,","59.915962,30.310437"
80,Троллейбус,Остановка,1-я Красноармейская ул. ,1-я Красноармейская ул.,"1-я Красноармейская улица, Московский проспект","3,8,","59.916244,30.317100"
81,Трамвай,Остановка,1-я Красноармейская улица Т ,1-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"1-я Красноармейская ул., Советский пер.",16,"59.915950,30.309410"
82,Автобус,Остановка,"1-Я ЛИНИЯ В.О., УГ. БОЛЬШОГО ПР. В.О.","1-Я ЛИНИЯ В.О., УГ. БОЛЬШОГО ПР. В.О.","1-я и Кадетская линии, Большой ВО Проспект","3М,3МА,6,7,24,47,","59.940810,30.291400"
83,Автобус,Остановка,2 КМ,2 КМ,A-125,"319,483,483А","60.205223,29.526958"
84,Автобус,Остановка,2 КМ,2 КМ,Пухтоловская дорога,321,"60.221024,29.712383"
85,Автобус,Остановка,2 КМ,2 КМ,Пухтоловская дорога,321,"60.220673,29.712448"
86,Автобус,Остановка,"2 КМ [319,483]",2 КМ,A-125,"319,483,483А","60.205573,29.526775"
87,Автобус,Остановка,2 ОЗЕРО,2 ОЗЕРО,Александровское ш.,494,"60.174835,30.021644"
88,Автобус,Остановка,2 ОЗЕРО,2 ОЗЕРО,Александровское шоссе,494,"60.174890,30.021210"
89,Автобус,Остановка,21 КМ [485],21 КМ,,485,"59.883362,30.680235"
90,Автобус,Остановка,21 КМ [485]<,21 КМ,,485,"59.883894,30.680889"
91,Автобус,Остановка,21 км,21 км,"Приморское шоссе, ул. 50-летия Октября","213,К-305,420,420А,420Б,","60.169797,29.364746"
92,Автобус,Остановка,"21 КМ., ПО ТРЕБОВАНИЮ","21 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.301697,29.288740"
93,Автобус,Остановка,"21 КМ., ПО ТРЕБОВАНИЮ","21 КМ., ПО ТРЕБОВАНИЮ",A-125,"483,483А","60.301548,29.288327"
94,Автобус,Остановка,21км,21км,"Приморское шоссе, ул. 50-летия Октября","213,420,420А,420Б,","60.170208,29.367031"
95,Автобус,Остановка,22 КМ,22 КМ,,485,"59.874380,30.673680"
96,Автобус,Остановка,22 КМ,22 КМ,,485,"59.874472,30.673956"
97,Автобус,Остановка,22 КМ,22 КМ,Приозерское ш.,"436,567,","60.257266,30.246279"
98,Автобус,Остановка,22 КМ<,22 КМ,Приозерское ш.,"436,567,","60.257325,30.245780"
99,Автобус,Остановка,"22 КМ, ПО ТРЕБОВАНИЮ","22 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б,","60.171503,29.341668"
100,Автобус,Остановка,"22 КМ, ПО ТРЕБОВАНИЮ","22 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б,","60.171193,29.341625"
101,Автобус,Остановка,22-23 ЛИНИИ [6],22-23 ЛИНИИ,"Средний пр., 22-23-я линии","3М,3МА,6,","59.937344,30.259117"
102,Автобус,Остановка,22-23 ЛИНИИ [6]<,22-23 ЛИНИИ,"Средний пр., 22-23-я линии","1,3М,3МА,6,7,128,152,","59.937122,30.257604"
103,Троллейбус,Остановка,22-23-я линии ,22-23-Я ЛИНИИ,"22-23-я линии В.О., Средний проспект В.О.","10,11","59.936670,30.258720"
104,Автобус,Остановка,22-23-Я ЛИНИИ В.О.,22-23-Я ЛИНИИ В.О.,"22-23-я линии, Большой пр. В.О.",1,"59.932474,30.264137"
105,Троллейбус,Остановка,22-23-я линии В.О. ,22-23-я линии В.О.,"Средний проспект В.О., 22-23-я линии В.О.","10,11","59.937100,30.257470"
106,Трамвай,Остановка,22-23-я линии В.О. T ,22-23-я линии В.О.,"Средний, 22-23-я линии","6,40,","59.937422,30.258789"
107,Трамвай,Остановка,22-23-я линии В.О. Т ,22-23-я линии В.О.,"Средний проспект, 22-23-я линии","6,40,","59.937030,30.257810"
108,Автобус,Остановка,"22-23-Я ЛИНИИ В.О., УГ. СРЕДНЕГО ПР. В.О.","22-23-Я ЛИНИИ В.О., УГ. СРЕДНЕГО ПР. В.О.","22-23-я линии В.О., Средний проспект В.О.","1,7,42,128,151,","59.936607,30.258782"
109,Автобус,Остановка,"23 КМ [443,454]",23 КМ,,"443,454,","59.725586,29.900481"
110,Автобус,Остановка,"23 КМ [443,454]",23 КМ,,"443,454,","59.725353,29.901543"
111,Автобус,Временная,2-3 линии В.О.,2-3 линии В.О.,"Средний проспект В.О., 2-3-я линии В.О.","К-44,","59.944560,30.283287"
112,Автобус,Остановка,"24 КМ, ПО ТРЕБОВАНИЮ","24 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б,","60.171780,29.304031"
113,Автобус,Остановка,"24 КМ, ПО ТРЕБОВАНИЮ","24 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б,","60.171567,29.304074"
114,Автобус,Остановка,24-25-Я ЛИНИИ В.О.,24-25-Я ЛИНИИ В.О.,"Малый проспект В.О., 24-25-я линии","47,100,","59.940138,30.249889"
115,Троллейбус,Остановка,24-25-я линии В.О. ,24-25-Я ЛИНИИ В.О.,"Малый пр. В.О., 24-25-я линии",9,"59.940100,30.250700"
116,Троллейбус,Остановка,24-25-я линии В.О. ,24-25-Я ЛИНИИ В.О.,"Малый пр. В.О., 24-25-я линии",9,"59.940200,30.250400"
117,Автобус,Остановка,24-25-Я ЛИНИИ В.О.,24-25-Я ЛИНИИ В.О.,"Малый пр. В.О., 24-25-я линии","47,100,","59.940177,30.250902"
118,Автобус,Остановка,25 КМ,25 КМ,Приморское шоссе,"420,420А,420Б,","60.172503,29.287026"
119,Автобус,Остановка,25 КМ [435],25 КМ,A-122,"84,435,497","60.123918,30.230096"
120,Автобус,Остановка,25 КМ [435]<,25 КМ,A-122,"84,435,497","60.122722,30.230967"
121,Автобус,Остановка,"25 КМ, ПО ТРЕБОВАНИЮ","25 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,420Б,","60.172730,29.287230"
122,Автобус,Остановка,26 КМ,26 КМ,"Петрозаводское шоссе, улица Александра Товпеко","189,328,332,335,335А,336,","59.792538,30.611644"
123,Автобус,Остановка,26 КМ,26 КМ,"Петрозаводское шоссе, ул. Александра Товпеко","189,328,332,335,335А,336,","59.793083,30.611152"
124,Автобус,Остановка,26 КМ ,26 КМ,Приозерское ш.,436,"60.293857,30.237755"
125,Автобус,Остановка,26 КМ <,26 КМ,Приозерское ш.,436,"60.293398,30.237272"
126,Автобус,Остановка,"28 КМ [482, 482а, 482в, 484, 484шК., 484б]",28 КМ,Таллинское ш.,"481,482,482В,484,547,","59.682536,29.894088"
127,Автобус,Остановка,"28 КМ [482, 482а, 482в, 484, 484шК., 484б]<",28 КМ,Таллинское ш.,"481,482,482В,484,547,","59.682181,29.893299"
128,Автобус,Остановка,28 КМ ПУЛКОВСКОГО ШОССЕ <,28 КМ ПУЛКОВСКОГО ШОССЕ,Киевское шоссе,"150,188","59.705549,30.269630"
129,Автобус,Остановка,28-29 ЛИНИИ ,28-29 ЛИНИИ ,"Средний пр., 28-29-я линии","1,3М,3МА,6,7,128,151,","59.934789,30.250447"
130,Автобус,Остановка,28-29-Я ЛИНИИ В.О.,28-29-Я ЛИНИИ В.О.,"Средний пр., 28-29-я линии","1,3М,3МА,6,7,128,152,","59.934541,30.248976"
131,Троллейбус,Остановка,28-29-я линии В.О. ,28-29-я линии В.О.,"Средний проспект В.О., 28-29-я линии В.О.","10,11","59.934770,30.250340"
132,Троллейбус,Остановка,28-29-я линии В.О. ,28-29-я линии В.О.,"Средний проспект В.О., 28-29-я линии В.О.","10,11","59.934520,30.248880"
133,Трамвай,Остановка,28-29-я линии В.О. T ,28-29-я линии В.О.,"Средний проспект, 28-29-я линии","6,40,","59.934340,30.248980"
134,Трамвай,Остановка,28-29-я линии В.О. T ,28-29-я линии В.О.,"Средний проспект В.О., 28-29-я линии","6,40,","59.934760,30.249820"
135,Автобус,Остановка,29 КМ [435],29 КМ,A-122,"435,497,","60.155272,30.191029"
136,Автобус,Остановка,29 КМ [435]<,29 КМ,A-122,"435,497","60.154667,30.191284"
137,Автобус,Остановка,29 КМ ,29 КМ,Приозерское ш.,436,"60.311690,30.259566"
138,Автобус,Остановка,29 КМ <,29 КМ,Приозерское ш.,436,"60.311770,30.259220"
139,Автобус,Остановка,2-Й МУРИНСКИЙ ПР.,2-Й МУРИНСКИЙ ПР.,"Институтский проспект, 2-й Муринский проспект",94,"60.000164,30.347521"
140,Автобус,Остановка,2-Й МУРИНСКИЙ ПР.,2-Й МУРИНСКИЙ ПР.,"Институтский проспект, 2-й Муринский проспект",94,"60.001022,30.348267"
141,Троллейбус,Остановка,2-й Муринский пр. ,2-Й МУРИНСКИЙ ПР.,"Институтский, Муринский 2-й",34,"59.999800,30.347400"
142,Троллейбус,Остановка,2-й Муринский пр. ,2-Й МУРИНСКИЙ ПР.,"Институтский, Муринский 2-й",34,"60.001300,30.348400"
143,Трамвай,Остановка,2-й Муринский пр. T ,2-Й МУРИНСКИЙ ПР.,"2-й Муринский проспект, Мужества пл.","20,40,55,","59.998731,30.361017"
144,Трамвай,Остановка,2-й Муринский пр. T ,2-Й МУРИНСКИЙ ПР.,"2-й Муринский проспект, Светлановская площадь","20,40,55,","60.003020,30.330550"
145,Трамвай,Остановка,"2-й Муринский пр., 51 T ","2-Й МУРИНСКИЙ ПР., 51","2-й Муринский проспект, Мужества пл.","20,40,55,","59.998583,30.361578"
146,Автобус,Остановка,2-Я КОННАЯ ЛАХТА,2-Я КОННАЯ ЛАХТА,,"112,К-210,К-232,","60.009470,30.117403"
147,Автобус,Остановка,2-Я КОННАЯ ЛАХТА,2-Я КОННАЯ ЛАХТА,,"112,К-210,К-232,","60.009494,30.116867"
148,Троллейбус,Остановка,2-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,2-Я КРАСНОАРМЕЙСКАЯ УЛИЦА,"Московский проспект, 2-я Красноармейская улица","15,17","59.915720,30.317950"
149,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,ул. Фридриха Энгельса,"370,372,375А,383,","59.681317,30.465891"
150,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,ул. Фридриха Энгельса,"370,372,375А,383,","59.681957,30.464603"
151,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,Революции ул.,493,"59.684966,30.468071"
152,Автобус,Остановка,2-Я КРАСНОФЛОТСКАЯ УЛ.,2-Я КРАСНОФЛОТСКАЯ УЛ.,Революции ул.,493,"59.685108,30.467683"
153,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273,301,","59.732260,30.119618"
154,Автобус,Остановка,3 КМ,3 КМ,Красносельское шоссе,"273,301,","59.732590,30.119564"
155,Автобус,Остановка,"3 КМ [319,483]",3 КМ,A-125,"319,483,483А","60.215343,29.504744"
156,Автобус,Остановка,"3 КМ [319,483]",3 КМ,A-125,"319,483,483А","60.215047,29.504502"
157,Автобус,Остановка,3 КМ [322],3 КМ,Магистральная,322,"60.223141,29.590255"
158,Автобус,Остановка,3 КМ [347],3 КМ,"Иликовская дорога, Сойкинская дорога",347,"59.901508,29.747940"
159,Автобус,Остановка,3 КМ [347],3 КМ,"Сойкинская дорога, Иликовская дорога",347,"59.901572,29.748820"
160,Автобус,Остановка,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,"Никольское шоссе, Отрадненское шоссе","438,438З","59.737784,30.776063"
161,Автобус,Остановка,3 КМ ДОРОГИ В НИКОЛЬСКОЕ <,3 КМ ДОРОГИ В НИКОЛЬСКОЕ,Sovetsky pr.,"438,438З","59.738125,30.776525"
162,Автобус,Остановка,3 КМ ПО ТРЕБОВАНИЮ,3 КМ ПО ТРЕБОВАНИЮ,Магистральная,322,"60.222950,29.590856"
163,Автобус,Остановка,"3 ЛИНИЯ,15","3 ЛИНИЯ,15","Аннинское шоссе, 2-я линия","442,442А,458,458А,458Б,","59.778958,30.089735"
164,Автобус,Остановка,"30 КМ [555, 435]",30 КМ,A-122,"435,497,555,","60.164848,30.183689"
165,Автобус,Остановка,"30 КМ [555, 435]<",30 КМ,A-122,"435,497,555","60.164553,30.183111"
166,Автобус,Остановка,31 КМ,31 КМ,Приморское шоссе,"420,420А,","60.168092,29.183214"
167,Автобус,Остановка,31 КМ [435]<,31 КМ,A-122,"435,497","60.170791,30.179999"
168,Автобус,Остановка,31 КМ [435],31 КМ,A-122,"435,497,","60.171170,30.179530"
169,Автобус,Остановка,"31 КМ, ПО ТРЕБОВАНИЮ",31 КМ,Петрозаводское шоссе,"189,332,438,438З","59.773856,30.697882"
170,Автобус,Остановка,"31 КМ, ПО ТРЕБОВАНИЮ",31 КМ,Петрозаводское шоссе,"189,332,438,438З","59.774126,30.697668"
171,Автобус,Остановка,"31 КМ, ПО ТРЕБОВАНИЮ","31 КМ, ПО ТРЕБОВАНИЮ",,"420,420А,","60.168215,29.182838"
172,Автобус,Остановка,"35 КМ, ПО ТРЕБОВАНИЮ","35 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,","60.170638,29.114581"
173,Автобус,Остановка,"35 КМ, ПО ТРЕБОВАНИЮ","35 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,","60.170296,29.115268"
174,Автобус,Остановка,36 КМ,36 КМ,"Мурманское ш., A-120",469,"59.913645,30.908644"
175,Автобус,Остановка,36 КМ,36 КМ,"Мурманское ш., A-120",469,"59.913884,30.908636"
176,Автобус,Остановка,36 КМ [555],36 КМ,A-122,555,"60.189214,30.098477"
177,Автобус,Остановка,36 КМ [555]<,36 КМ,A-122,555,"60.188970,30.098966"
178,Автобус,Остановка,"36 КМ, ПО ТРЕБОВАНИЮ","36 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,","60.174747,29.100291"
179,Автобус,Остановка,"36 КМ, ПО ТРЕБОВАНИЮ","36 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,","60.174395,29.100162"
180,Автобус,Остановка,37 км,37 км,"Линия 30, Линия 23",555,"60.194380,30.074226"
181,Автобус,Остановка,37 км,37 км,"Линия 30, Линия 24",555,"60.194065,30.074676"
182,Автобус,Остановка,"37 КМ, ПО ТРЕБОВАНИЮ","37 КМ, ПО ТРЕБОВАНИЮ",A-123,"420,420А,","60.179176,29.083446"
