Number;Year_Of_Build;Level;Number_Of_Rooms;Distance_To_The_Nearest_MRT-station;Class;Type_Of_Market;Common_Square;Square_Of_Kitchen;Price
12130;2010-2020;middle;two;30-60 minutes;economy;secondary;57;9;103333,3
12132;2010-2020;middle;one;30-60 minutes;economy;secondary;36,8;9;119293,5
12134;1980-2000;middle;one;15-30 minutes;economy;secondary;38;9;115526,3
12136;1960-1980;middle;two;less than 5 minutes;economy;secondary;46,6;8;118025,8
12140;1980-2000;middle;two;5-15 minutes;economy;secondary;57,4;8,2;113240,4
12141;1960-1980;middle;three and more;5-15 minutes;economy;secondary;104,9;9,5;90562,4
12142;1960-1980;middle;three and more;5-15 minutes;economy;secondary;62;10;112903,2
12143;2010-2020;middle;three and more;15-30 minutes;economy;secondary;129;17,7;182945,7
12144;1980-2000;middle;two;15-30 minutes;economy;secondary;53,8;7,5;119423,8
12145;2010-2020;middle;one;15-30 minutes;economy;primary;26,1;5;119954
12151;2010-2020;middle;two;15-30 minutes;economy;secondary;64,1;19,9;148205,9
12156;2010-2020;middle;one;5-15 minutes;economy;primary;34,2;12,2;108187,1
12157;2000-2010;first;one;15-30 minutes;economy;secondary;40;9;145000
12159;1960-1980;middle;one;5-15 minutes;economy;secondary;31,3;6,2;166134,2
12162;2010-2020;middle;one;30-60 minutes;economy;secondary;48,1;14;130977,1
12165;2010-2020;middle;one;30-60 minutes;economy;secondary;39,6;20,3;140151,5
12175;1980-2000;middle;three and more;15-30 minutes;economy;secondary;81,1;14,9;90012,3
12176;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60;6,3;87500
12184;2000-2010;middle;two;15-30 minutes;economy;secondary;65;12;148461,5
12187;2010-2020;middle;one;15-30 minutes;economy;secondary;42,1;11,5;140142,5
12193;2010-2020;middle;two;5-15 minutes;economy;secondary;60;14;152166,7
12209;1960-1980;middle;two;15-30 minutes;economy;secondary;45,6;7;103070,2
12213;2000-2010;middle;one;15-30 minutes;economy;secondary;39;11;121794,9
12214;1980-2000;middle;three and more;5-15 minutes;economy;secondary;53;6,4;109245,3
12220;2010-2020;middle;one;15-30 minutes;economy;secondary;35;12;125714,3
12221;1960-1980;first;three and more;5-15 minutes;economy;secondary;42;5,3;92857,1
12228;2010-2020;middle;two;15-30 minutes;economy;secondary;65,8;8,9;121428,6
12234;2000-2010;middle;two;15-30 minutes;economy;secondary;60;13,6;133333,3
12235;2000-2010;middle;two;15-30 minutes;economy;secondary;90;14;97777,8
12236;2000-2010;middle;two;15-30 minutes;economy;secondary;52,7;8,7;105313,1
12248;2000-2010;middle;one;15-30 minutes;comfort;secondary;40;12,3;132500
12249;2010-2020;middle;one;30-60 minutes;economy;secondary;33,1;10;134743,2
12251;1960-1980;first;two;less than 5 minutes;economy;secondary;50,5;5,8;112871,3
12252;2000-2010;middle;one;15-30 minutes;economy;secondary;37;10;147297,3
12264;2010-2020;middle;three and more;15-30 minutes;economy;secondary;113,2;39;150176,7
12265;2000-2010;middle;one;30-60 minutes;economy;secondary;34,8;10,5;129310,3
12272;2000-2010;first;two;15-30 minutes;economy;secondary;66;10;109393,9
12275;2000-2010;middle;one;5-15 minutes;economy;secondary;36;12;151388,9
12284;1960-1980;middle;two;less than 5 minutes;economy;secondary;51;7;131176,5
12285;1960-1980;middle;two;5-15 minutes;economy;secondary;45;5,1;94488,9
12295;2010-2020;middle;three and more;15-30 minutes;economy;secondary;85,3;12,1;120750,3
12297;2000-2010;middle;two;less than 5 minutes;economy;secondary;73,2;13;135245,9
12298;1980-2000;middle;three and more;5-15 minutes;economy;secondary;65;10;108153,8
12300;2000-2010;middle;two;5-15 minutes;economy;secondary;71,8;16,5;151810,6
12301;1980-2000;middle;two;15-30 minutes;economy;secondary;51;11;125490,2
12306;1960-1980;middle;two;5-15 minutes;economy;secondary;42,4;6;112028,3
12309;2010-2020;middle;one;15-30 minutes;economy;secondary;38,1;10,5;123359,6
12312;2000-2010;middle;three and more;15-30 minutes;economy;secondary;83,5;11,6;134131,7
12317;2010-2020;middle;two;15-30 minutes;economy;secondary;64,9;14,2;110169,5
12321;2000-2010;middle;one;15-30 minutes;economy;secondary;38;10;152631,6
12322;1960-1980;middle;two;15-30 minutes;economy;secondary;49;9;109795,9
12326;2010-2020;middle;three and more;15-30 minutes;economy;secondary;113,8;12;111423,6
12327;1980-2000;last;two;5-15 minutes;economy;secondary;56,2;10,5;142348,8
12331;2010-2020;middle;one;15-30 minutes;economy;secondary;36,3;9,9;112947,7
12332;1960-1980;middle;two;15-30 minutes;economy;secondary;46;6,3;97826,1
12333;1960-1980;last;two;15-30 minutes;economy;secondary;45;7;94444,4
12335;2010-2020;middle;one;15-30 minutes;economy;secondary;45,6;13,4;126096,5
12337;2010-2020;middle;two;5-15 minutes;economy;secondary;68,5;14,7;124817,5
12340;2010-2020;middle;two;15-30 minutes;economy;secondary;68,4;11,6;131140,4
12342;2010-2020;middle;two;15-30 minutes;economy;secondary;59,9;10,4;122036,7
12343;2010-2020;middle;three and more;5-15 minutes;economy;secondary;90;12;117777,8
12348;2010-2020;middle;two;15-30 minutes;economy;secondary;46,3;8,6;167386,6
12349;1980-2000;last;one;30-60 minutes;economy;secondary;46,8;10,5;116880,3
12353;2010-2020;middle;three and more;5-15 minutes;business;secondary;85;17;141176,5
12354;1980-2000;middle;three and more;15-30 minutes;economy;secondary;70,8;7,1;101694,9
12359;2010-2020;middle;three and more;15-30 minutes;economy;secondary;116,7;18,8;160239,9
12362;1980-2000;last;one;15-30 minutes;economy;secondary;38;11;127631,6
12366;2010-2020;middle;two;15-30 minutes;economy;secondary;59,9;12;112520,9
12367;2010-2020;middle;two;15-30 minutes;economy;secondary;74,9;16,3;99332,4
12371;2010-2020;middle;two;15-30 minutes;economy;secondary;52,3;16,7;201720,8
12375;1980-2000;middle;three and more;15-30 minutes;economy;secondary;97;12;131958,8
12378;2010-2020;middle;one;15-30 minutes;comfort;secondary;38;20;121052,6
12380;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;99;17;144949,5
12382;1960-1980;middle;two;less than 5 minutes;economy;secondary;43,5;5,1;135632,2
12384;1980-2000;middle;two;15-30 minutes;economy;secondary;51,2;8;103515,6
12387;2000-2010;middle;one;15-30 minutes;economy;secondary;41,6;9;126682,7
12388;2010-2020;middle;one;15-30 minutes;economy;secondary;27,7;6;140794,2
12389;1980-2000;middle;three and more;15-30 minutes;economy;secondary;78,4;14,8;112882,7
12390;1980-2000;middle;three and more;5-15 minutes;economy;secondary;65,7;9,5;92846,3
12391;1960-1980;middle;two;5-15 minutes;economy;secondary;47;8,2;102127,7
12393;2010-2020;middle;three and more;15-30 minutes;economy;secondary;80,3;15,1;111332,5
12394;2010-2020;middle;two;15-30 minutes;economy;secondary;55;15;145454,5
12395;2000-2010;middle;two;5-15 minutes;economy;secondary;55,6;11,1;160071,9
12398;2010-2020;middle;one;30-60 minutes;economy;secondary;32,7;10;125382,3
12400;2010-2020;middle;two;15-30 minutes;economy;secondary;67;14;186567,2
12401;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;65;7;112153,8
12404;1980-2000;last;one;5-15 minutes;economy;secondary;38,4;9,9;122135,4
12411;1960-1980;middle;two;15-30 minutes;economy;secondary;45;5,6;101111,1
12412;2010-2020;last;one;15-30 minutes;economy;secondary;27;3;118518,5
12415;2010-2020;middle;three and more;15-30 minutes;economy;secondary;116,1;18,5;161843,2
12419;2010-2020;middle;three and more;5-15 minutes;economy;secondary;85,8;15,2;161655
12421;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;72;9;138875
12422;2010-2020;middle;one;15-30 minutes;economy;secondary;48;19;186458,3
12423;2000-2010;middle;two;less than 5 minutes;economy;secondary;100;33;155000
12425;1980-2000;last;two;30-60 minutes;economy;secondary;49,7;8,1;98189,1
12428;1960-1980;first;one;30-60 minutes;economy;secondary;40;9;109975
12433;2000-2010;first;two;15-30 minutes;economy;secondary;58,8;10,8;101870,7
12442;1960-1980;middle;one;30-60 minutes;economy;secondary;31;5,5;114516,1
12444;2010-2020;middle;two;5-15 minutes;economy;primary;67;20,2;128358,2
12446;1980-2000;middle;one;15-30 minutes;economy;secondary;39;10,3;141025,6
12448;2010-2020;middle;one;30-60 minutes;economy;secondary;37,3;10,1;96246,6
12451;1960-1980;middle;three and more;15-30 minutes;economy;secondary;62,6;9,5;92651,8
12452;1980-2000;middle;three and more;15-30 minutes;economy;secondary;75;11;113333,3
12459;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;72;10,9;122243,9
12465;2000-2010;middle;three and more;5-15 minutes;economy;secondary;90;12;117222,2
12471;2000-2010;middle;three and more;5-15 minutes;economy;secondary;113,6;15;125000
12474;1960-1980;middle;one;15-30 minutes;economy;secondary;30,6;6,2;114052,3
12476;1960-1980;last;two;5-15 minutes;economy;secondary;45;5;123333,3
12482;2000-2010;middle;three and more;5-15 minutes;economy;secondary;99,7;11,8;134302,9
12485;1980-2000;middle;two;less than 5 minutes;economy;secondary;52;7,8;105576,9
12492;2000-2010;middle;two;15-30 minutes;economy;secondary;65,5;16,8;152519,1
12494;1980-2000;first;two;15-30 minutes;economy;secondary;45;7;106666,7
12502;2000-2010;middle;two;15-30 minutes;economy;secondary;68;15,5;123529,4
12504;1960-1980;middle;one;15-30 minutes;economy;secondary;29,4;6;122449
12509;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;99,7;10;109328
12511;2000-2010;middle;one;15-30 minutes;economy;secondary;34,3;9,5;145772,6
12516;2010-2020;middle;one;30-60 minutes;economy;secondary;50;15,5;112000
12517;2000-2010;middle;two;less than 5 minutes;economy;secondary;72;13;166666,7
12519;1960-1980;middle;one;15-30 minutes;economy;secondary;31,7;8,2;119873,8
12520;1960-1980;last;one;15-30 minutes;economy;secondary;36;7;102777,8
12524;2010-2020;middle;one;15-30 minutes;economy;secondary;38;10;131578,9
12528;1980-2000;first;three and more;15-30 minutes;economy;secondary;60;6;88333,3
12533;2010-2020;middle;two;15-30 minutes;economy;secondary;70;13;160000
12548;2010-2020;middle;one;15-30 minutes;economy;primary;33,4;8,6;134431,1
12549;2010-2020;middle;three and more;less than 5 minutes;economy;primary;102;22;180774
12562;2010-2020;first;one;15-30 minutes;economy;secondary;42;13;85714,3
12571;1960-1980;first;two;15-30 minutes;economy;secondary;44,7;6;91722,6
12577;2000-2010;middle;one;15-30 minutes;economy;secondary;41;12,7;182926,8
12585;1980-2000;middle;one;15-30 minutes;economy;secondary;41;10;117073,1
12590;2010-2020;middle;two;15-30 minutes;economy;secondary;62,5;14,4;109440
12595;2010-2020;middle;three and more;15-30 minutes;economy;secondary;123,1;23,2;193866,8
12600;1960-1980;middle;one;15-30 minutes;economy;secondary;31;6,3;116129
12601;2010-2020;middle;three and more;15-30 minutes;economy;primary;94,8;13,2;75421,9
12612;2010-2020;middle;one;15-30 minutes;economy;secondary;26,7;4,2;112322,1
12614;1980-2000;middle;three and more;15-30 minutes;economy;secondary;75;9;114666,7
12618;1980-2000;middle;one;5-15 minutes;economy;secondary;34;8;120588,2
12621;1960-1980;middle;two;5-15 minutes;economy;secondary;45;6;117777,8
12622;1980-2000;middle;three and more;15-30 minutes;economy;secondary;125,7;11,2;73985,7
12626;2010-2020;middle;three and more;15-30 minutes;economy;secondary;83,1;10,8;86642,6
12628;1980-2000;first;three and more;less than 5 minutes;economy;secondary;78;14,5;96025,6
12630;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;60,6;6,1;132013,2
12633;1980-2000;last;three and more;5-15 minutes;economy;secondary;59;7;93220,3
12648;2010-2020;last;two;less than 5 minutes;comfort;secondary;62,3;13,2;160513,6
12651;1960-1980;first;two;15-30 minutes;economy;secondary;46,1;7,4;82429,5
12652;1980-2000;middle;two;5-15 minutes;economy;secondary;52;8,5;110576,9
12655;2010-2020;middle;one;15-30 minutes;economy;secondary;34,3;9,6;109037,9
12660;1960-1980;last;three and more;15-30 minutes;economy;secondary;62;6;95161,3
12666;2000-2010;middle;three and more;30-60 minutes;economy;secondary;70,2;8,6;86894,6
12667;1960-1980;middle;two;15-30 minutes;economy;secondary;48,3;5,8;90062,1
12672;1980-2000;first;two;15-30 minutes;economy;secondary;52;9;95576,9
12675;2010-2020;middle;two;5-15 minutes;economy;secondary;59,4;12,5;113636,4
12676;1980-2000;middle;three and more;5-15 minutes;economy;secondary;56,9;6,5;114235,5
12679;1980-2000;middle;one;15-30 minutes;economy;secondary;36,9;8,5;120596,2
12681;1980-2000;middle;one;less than 5 minutes;economy;secondary;69;27;126376,8
12688;2010-2020;middle;two;15-30 minutes;economy;primary;44,3;19;189390,5
12696;1960-1980;middle;two;15-30 minutes;economy;secondary;57,1;8;92819,6
12699;1960-1980;middle;two;15-30 minutes;economy;secondary;44;6;118181,8
12703;2010-2020;middle;one;15-30 minutes;economy;primary;28,4;5;116197,2
12704;2010-2020;middle;two;5-15 minutes;economy;secondary;38,2;8,8;130628,3
12719;2010-2020;middle;one;15-30 minutes;comfort;secondary;44;11,5;140909,1
12726;1960-1980;middle;three and more;30-60 minutes;economy;secondary;69;8;82608,7
12728;2010-2020;middle;two;15-30 minutes;elite;secondary;80;19;165375
12729;1980-2000;first;three and more;30-60 minutes;economy;secondary;80;14,9;97500
12734;1980-2000;middle;three and more;5-15 minutes;economy;secondary;74;12;114864,9
12739;1960-1980;middle;three and more;15-30 minutes;economy;secondary;58;7;94827,6
12740;2010-2020;middle;one;15-30 minutes;economy;secondary;44,2;10,4;147058,8
12746;2000-2010;middle;one;15-30 minutes;economy;secondary;43;12;130232,6
12747;1960-1980;middle;one;5-15 minutes;economy;secondary;27,4;6;140510,9
12750;1980-2000;middle;three and more;15-30 minutes;economy;secondary;95;8,1;90526,3
12753;1980-2000;middle;two;5-15 minutes;economy;secondary;46;7;110869,6
12757;2010-2020;middle;one;15-30 minutes;economy;secondary;35,1;11;119658,1
12768;2010-2020;middle;one;15-30 minutes;economy;secondary;39,5;9,5;113924,1
12770;2010-2020;middle;three and more;15-30 minutes;economy;secondary;100,5;41,3;135323,4
12771;1960-1980;middle;three and more;15-30 minutes;economy;secondary;53;8;104717
12774;2010-2020;middle;two;30-60 minutes;economy;primary;51;12;80858,4
12776;2010-2020;middle;two;15-30 minutes;economy;secondary;57,6;10,7;112326,4
12780;2010-2020;middle;one;15-30 minutes;economy;secondary;39;16,8;196153,8
12782;1980-2000;middle;three and more;15-30 minutes;economy;secondary;72;11,8;99861,1
12784;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;79,1;10,8;152970,9
12794;1980-2000;first;one;15-30 minutes;economy;secondary;37;8,3;114864,9
12801;2010-2020;middle;one;15-30 minutes;economy;secondary;30,7;5;192182,4
12813;1980-2000;middle;one;15-30 minutes;economy;secondary;38,3;10;114882,5
12815;2000-2010;middle;three and more;15-30 minutes;economy;secondary;42;5,2;105952,4
12816;1960-1980;middle;one;15-30 minutes;economy;secondary;36,8;8;124972,8
12818;2010-2020;middle;two;15-30 minutes;economy;primary;68;11,5;50000
12821;1960-1980;last;two;15-30 minutes;economy;secondary;44;5;77272,7
12826;2010-2020;middle;one;15-30 minutes;economy;secondary;37;9,7;102702,7
12828;2010-2020;middle;one;5-15 minutes;economy;secondary;38,9;10,1;164524,4
12829;2010-2020;last;one;30-60 minutes;economy;secondary;36;8,1;120277,8
12836;1960-1980;last;one;5-15 minutes;economy;secondary;33;6;130000
12838;2010-2020;middle;two;15-30 minutes;economy;secondary;71;13;154225,4
12842;1960-1980;last;two;15-30 minutes;economy;secondary;44;5,8;109090,9
12845;2010-2020;middle;three and more;15-30 minutes;economy;secondary;84,2;11,3;111401,4
12846;2010-2020;middle;one;15-30 minutes;economy;secondary;28,3;5,5;126855,1
12849;2000-2010;middle;one;15-30 minutes;economy;secondary;45,3;12,2;87638
12852;2010-2020;middle;one;30-60 minutes;economy;secondary;51,5;19;89563,1
12853;1960-1980;middle;two;30-60 minutes;economy;secondary;45,4;6,3;94713,7
12854;1960-1980;middle;three and more;5-15 minutes;economy;secondary;77,6;9,4;109523,2
12860;2010-2020;middle;three and more;5-15 minutes;economy;secondary;82,5;12,2;163636,4
12861;1960-1980;first;three and more;15-30 minutes;economy;secondary;60,3;6,2;87893,9
12867;1980-2000;middle;three and more;less than 5 minutes;economy;secondary;86,1;19,3;104761,9
12868;2000-2010;middle;one;15-30 minutes;economy;secondary;45,7;12,2;98468,3
12873;1960-1980;first;one;15-30 minutes;economy;secondary;31;6,4;108064,5
12875;1960-1980;middle;one;30-60 minutes;economy;secondary;30;6;100000
12879;1960-1980;middle;three and more;15-30 minutes;economy;secondary;63;10;83333,3
12881;2010-2020;last;two;5-15 minutes;economy;secondary;68;12;129411,8
12884;2000-2010;middle;two;15-30 minutes;economy;secondary;43,5;8,5;167816,1
12885;1960-1980;middle;two;15-30 minutes;economy;secondary;46;7;91304,3
12886;1960-1980;middle;one;15-30 minutes;economy;secondary;35,7;7;105042
12889;1960-1980;last;three and more;15-30 minutes;economy;secondary;60;6,3;83316,7
12892;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;118;24,3;148305,1
12893;2010-2020;middle;two;15-30 minutes;economy;secondary;54,7;13,6;105118,8
12894;2010-2020;middle;three and more;5-15 minutes;economy;secondary;77;12;125324,7
12895;2010-2020;middle;two;15-30 minutes;economy;secondary;50;18;146000
12897;2010-2020;middle;one;15-30 minutes;comfort;secondary;35,3;10,9;157223,8
12902;1980-2000;first;one;30-60 minutes;economy;secondary;38,6;9,4;94041,5
12903;2010-2020;middle;one;15-30 minutes;economy;secondary;38,1;9,8;110236,2
12908;2010-2020;middle;one;5-15 minutes;economy;secondary;47,8;12,9;200000
12909;1980-2000;middle;three and more;30-60 minutes;economy;secondary;100;19;117900
12910;2000-2010;middle;one;30-60 minutes;economy;secondary;34;9;97058,8
12917;1960-1980;middle;three and more;15-30 minutes;economy;secondary;66,2;9,9;93655,6
12919;2010-2020;middle;one;5-15 minutes;economy;secondary;34,3;10,6;169096,2
12920;2010-2020;middle;two;15-30 minutes;economy;secondary;62;14;87096,8
12921;2010-2020;middle;two;5-15 minutes;economy;secondary;65,5;13;178626
12922;2000-2010;middle;two;15-30 minutes;economy;secondary;65,5;10,8;96946,6
12928;2010-2020;middle;two;less than 5 minutes;economy;secondary;57,2;10;141608,4
12929;2010-2020;middle;two;15-30 minutes;economy;secondary;51,3;8,2;191033,1
12931;1960-1980;middle;one;less than 5 minutes;economy;secondary;44,5;9,4;134831,5
12932;2010-2020;middle;one;30-60 minutes;economy;secondary;46,2;22,3;167748,9
12936;2000-2010;middle;three and more;15-30 minutes;economy;secondary;98,2;15;116089,6
12944;1980-2000;middle;three and more;30-60 minutes;economy;secondary;63,7;8;97331,2
12946;2000-2010;middle;one;less than 5 minutes;economy;secondary;39,8;10,5;133165,8
12948;2010-2020;middle;one;15-30 minutes;economy;secondary;23;5;146521,7
12953;2000-2010;middle;two;15-30 minutes;economy;secondary;58,4;10,5;136986,3
12954;1960-1980;middle;three and more;5-15 minutes;economy;secondary;65,4;9,6;110856,3
12958;2010-2020;middle;one;15-30 minutes;economy;secondary;44;12;175000
12961;2010-2020;middle;two;30-60 minutes;economy;primary;52;10,3;101730,8
12962;2010-2020;middle;one;15-30 minutes;economy;secondary;31,8;8;152515,7
12967;2010-2020;middle;two;15-30 minutes;economy;secondary;39,5;14;149367,1
12976;2000-2010;middle;two;15-30 minutes;economy;secondary;52;14;163269,2
12977;1960-1980;last;one;5-15 minutes;economy;secondary;32;6;107812,5
12979;2010-2020;middle;one;15-30 minutes;economy;primary;34,1;10;138768,3
12980;2010-2020;middle;one;15-30 minutes;economy;secondary;40,5;11;135777,8
12981;1980-2000;middle;three and more;15-30 minutes;economy;secondary;70,9;8,2;119887,2
12985;1960-1980;middle;three and more;5-15 minutes;economy;secondary;57;6;107017,5
12994;1960-1980;middle;two;15-30 minutes;economy;secondary;46;7;121521,7
12995;1980-2000;first;two;15-30 minutes;economy;secondary;54,7;9,9;102193,8
12996;1960-1980;last;three and more;15-30 minutes;economy;secondary;57,8;5,6;103788,9
12997;2010-2020;middle;two;15-30 minutes;economy;secondary;52,5;8,5;118095,2
12998;1980-2000;first;three and more;15-30 minutes;economy;secondary;70;10;107142,9
12999;1960-1980;middle;three and more;15-30 minutes;economy;secondary;62,2;9,5;98070,7
13000;1980-2000;middle;three and more;15-30 minutes;economy;secondary;72;8,4;104166,7
13001;1960-1980;last;three and more;5-15 minutes;economy;secondary;42;6;96428,6
13002;2010-2020;middle;one;15-30 minutes;comfort;secondary;38,3;18;144125,3
13005;1960-1980;middle;two;less than 5 minutes;economy;secondary;44,8;5,8;102656,3
13010;2010-2020;middle;one;15-30 minutes;economy;secondary;26,5;3;124490,6
13018;2000-2010;middle;two;15-30 minutes;economy;secondary;51;9;141176,5
13023;2010-2020;middle;one;5-15 minutes;economy;secondary;41;11;131682,9
13029;1980-2000;first;three and more;less than 5 minutes;economy;secondary;79;15;101265,8
13030;2000-2010;first;one;30-60 minutes;economy;secondary;32;8;126250
13031;1960-1980;middle;three and more;15-30 minutes;economy;secondary;58;8;100000
13032;1960-1980;middle;two;15-30 minutes;economy;secondary;48;9;104166,6
13034;2000-2010;middle;three and more;15-30 minutes;economy;secondary;79,4;10,8;113350,1
13036;1980-2000;middle;two;15-30 minutes;economy;secondary;46;7,2;100000
13041;2000-2010;middle;three and more;15-30 minutes;economy;secondary;84;13,1;148809,5
13044;2010-2020;middle;three and more;5-15 minutes;economy;secondary;95;55;205263,2
13047;2010-2020;middle;two;15-30 minutes;economy;secondary;73;18,1;152739,7
13052;2010-2020;middle;one;15-30 minutes;economy;secondary;46,1;17,3;169197,4
13057;1980-2000;middle;one;15-30 minutes;economy;secondary;34,7;8,6;125360,2
13060;1960-1980;middle;one;15-30 minutes;economy;secondary;30;6;135000
13062;1960-1980;middle;three and more;5-15 minutes;economy;secondary;74;9;91891,9
13064;2000-2010;middle;one;15-30 minutes;economy;secondary;34;16;138235,3
13065;1960-1980;last;two;5-15 minutes;economy;secondary;45;7,2;111088,9
13068;2000-2010;middle;two;5-15 minutes;economy;secondary;71,6;18;153617,3
13069;2000-2010;middle;two;less than 5 minutes;economy;secondary;72;17,6;165277,8
13070;2010-2020;middle;one;30-60 minutes;economy;secondary;35,2;8,1;100000
13072;2000-2010;middle;three and more;15-30 minutes;economy;secondary;69;9;113043,5
13073;2010-2020;middle;one;15-30 minutes;economy;secondary;38,8;12,1;132732
13075;2000-2010;middle;two;less than 5 minutes;economy;secondary;70;13,4;104000
13077;1960-1980;middle;two;15-30 minutes;economy;secondary;44,1;7,6;131519,3
13081;2010-2020;middle;two;15-30 minutes;economy;secondary;59,9;11;92654,4
13083;2010-2020;middle;one;15-30 minutes;economy;secondary;36;9;113888,9
13084;2000-2010;middle;two;15-30 minutes;economy;secondary;70;13;150000
13085;1960-1980;last;three and more;15-30 minutes;economy;secondary;60;6;114333,3
13089;1980-2000;middle;one;15-30 minutes;economy;secondary;35,7;8;117647,1
13093;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;101;13,9;138613,9
13094;2010-2020;middle;one;15-30 minutes;economy;secondary;47,8;14;128661,1
13096;2010-2020;middle;one;30-60 minutes;economy;secondary;33,3;9,9;133933,9
13097;2010-2020;middle;one;15-30 minutes;economy;secondary;22;4;103681,8
13099;1960-1980;last;two;15-30 minutes;economy;secondary;45;6;102200
13100;1980-2000;middle;two;5-15 minutes;economy;secondary;47,8;8,4;144351,5
13101;1980-2000;middle;one;less than 5 minutes;economy;secondary;33,3;8,1;177777,8
13102;1960-1980;middle;three and more;15-30 minutes;economy;secondary;61,8;9,9;95469,3
13104;1960-1980;first;three and more;5-15 minutes;economy;secondary;60,2;6,2;94684,4
13107;2000-2010;middle;one;15-30 minutes;economy;secondary;41;10;135365,9
13109;2010-2020;middle;two;5-15 minutes;economy;secondary;76;14,9;178947,4
13115;2000-2010;middle;two;5-15 minutes;economy;secondary;58,7;12,6;115672,9
13116;2010-2020;middle;two;15-30 minutes;economy;secondary;76;37,5;207894,7
13118;2010-2020;middle;two;15-30 minutes;economy;secondary;67;11;117910,4
13119;1980-2000;middle;one;15-30 minutes;economy;secondary;40;10,1;115000
13121;2000-2010;middle;three and more;15-30 minutes;economy;secondary;122;55;162295,1
13122;2010-2020;middle;two;15-30 minutes;comfort;secondary;53,6;12,7;118470,1
13128;1980-2000;middle;three and more;less than 5 minutes;economy;secondary;80;9;151250
13130;2000-2010;middle;one;15-30 minutes;economy;secondary;34;9;132352,9
13131;1980-2000;middle;three and more;15-30 minutes;economy;secondary;89;12;100000
13148;2000-2010;last;three and more;15-30 minutes;economy;secondary;126,6;20;98736,2
13150;2010-2020;middle;one;5-15 minutes;comfort;secondary;44,3;12,4;158013,5
13151;1960-1980;first;one;5-15 minutes;economy;secondary;30;7;118333,3
13152;2010-2020;middle;two;15-30 minutes;economy;secondary;54,5;9,5;136697,2
13153;1960-1980;middle;three and more;15-30 minutes;economy;secondary;70;10;111428,6
13154;2010-2020;middle;one;15-30 minutes;economy;secondary;32,7;8,7;155963,3
13155;2010-2020;middle;one;15-30 minutes;comfort;secondary;38;10,4;126315,8
13161;2010-2020;middle;one;15-30 minutes;comfort;primary;36,7;10,3;125068,1
13165;2010-2020;middle;two;5-15 minutes;economy;primary;79,3;26;170428,8
13167;2010-2020;middle;two;15-30 minutes;economy;primary;73,6;14,9;100951,1
13170;2010-2020;middle;one;15-30 minutes;economy;primary;33,9;7,2;122566,4
13171;2010-2020;middle;three and more;15-30 minutes;business;secondary;87,7;14,6;125416,2
13172;2000-2010;first;three and more;less than 5 minutes;economy;secondary;82,6;12,7;90799
13174;2000-2010;middle;two;less than 5 minutes;economy;secondary;67;23;161194
13176;2010-2020;middle;two;less than 5 minutes;economy;secondary;65,7;11,3;109589
13181;2000-2010;middle;one;15-30 minutes;economy;primary;39,7;10,7;130982,4
13182;2000-2010;middle;one;15-30 minutes;economy;secondary;20;3;175000
13185;1960-1980;middle;one;15-30 minutes;economy;secondary;30,4;6,1;118421,1
13190;1980-2000;middle;two;30-60 minutes;economy;secondary;54,8;10,3;105656,9
13200;1960-1980;last;three and more;5-15 minutes;economy;secondary;58;7;96551,7
13202;2000-2010;middle;one;5-15 minutes;economy;secondary;44,6;12;168161,4
13203;2010-2020;middle;one;15-30 minutes;economy;secondary;41,1;11,3;86374,7
13204;1960-1980;middle;one;15-30 minutes;economy;secondary;32,6;6,2;101227
13206;2010-2020;middle;one;15-30 minutes;economy;primary;38,8;10,2;126715,7
13208;2000-2010;middle;one;15-30 minutes;economy;secondary;47;12,2;135957,4
13209;2010-2020;middle;one;15-30 minutes;comfort;secondary;36,6;10,4;109262,3
13212;2010-2020;middle;two;15-30 minutes;economy;secondary;58;11;118103,4
13216;2010-2020;middle;two;15-30 minutes;economy;secondary;66;11,6;128787,9
13217;2010-2020;middle;two;5-15 minutes;elite;secondary;116,4;19,5;160008,6
13219;2010-2020;middle;three and more;15-30 minutes;economy;secondary;79,8;15,1;109398,5
13221;2010-2020;middle;one;30-60 minutes;economy;primary;28,7;9,6;96864,1
13222;2010-2020;middle;one;30-60 minutes;economy;primary;32,4;7,4;91975,3
13223;2000-2010;middle;three and more;15-30 minutes;economy;secondary;84;15;135714,3
13224;1960-1980;middle;two;5-15 minutes;economy;secondary;44,3;6,8;108126,4
13226;2010-2020;last;one;30-60 minutes;economy;primary;36,4;15,2;89835,2
13227;2010-2020;middle;one;30-60 minutes;economy;primary;30,9;12,3;92880,3
13230;2010-2020;middle;one;15-30 minutes;economy;secondary;30;4,2;200000
13232;2010-2020;first;two;15-30 minutes;economy;secondary;60;18,3;166500
13233;1960-1980;middle;one;15-30 minutes;economy;primary;27,3;6;145970,7
