Number;Year_Of_Build;Level;Number_Of_Rooms;Distance_To_The_Nearest_MRT-station;Class;Type_Of_Market;Common_Square;Square_Of_Kitchen;Price
11090;2010-2020;middle;two;5-15 minutes;economy;secondary;54,1;10,9;109981,5
11094;2010-2020;middle;one;5-15 minutes;economy;secondary;33;10;160606,1
11095;2000-2010;middle;one;15-30 minutes;economy;secondary;34,2;10;140350,9
11096;1960-1980;first;one;15-30 minutes;economy;secondary;30;6;76666,7
11102;1960-1980;middle;three and more;5-15 minutes;economy;secondary;73,9;6,2;82544
11104;1960-1980;middle;one;5-15 minutes;economy;secondary;32;6;132812,5
11107;1960-1980;first;three and more;5-15 minutes;economy;secondary;63,1;6,3;85578,4
11110;1960-1980;last;one;15-30 minutes;economy;secondary;35,2;6,2;113636,4
11130;2010-2020;middle;one;15-30 minutes;economy;secondary;40,4;15;102722,8
11133;2010-2020;middle;two;15-30 minutes;economy;secondary;62,4;18;118589,7
11137;2010-2020;middle;one;less than 5 minutes;economy;secondary;51;15;160196,1
11139;2010-2020;middle;one;30-60 minutes;economy;secondary;39,5;13,3;129367,1
11143;1960-1980;middle;two;15-30 minutes;economy;secondary;44,6;6,7;116591,9
11144;1960-1980;middle;three and more;5-15 minutes;economy;secondary;93,2;9,3;114806,9
11151;1980-2000;middle;three and more;5-15 minutes;economy;secondary;80;10;100000
11157;1960-1980;middle;three and more;5-15 minutes;economy;secondary;73,4;6,4;79700,3
11158;1980-2000;middle;two;15-30 minutes;economy;secondary;42;9;117857,1
11171;2010-2020;middle;three and more;15-30 minutes;economy;secondary;82;16;95122
11172;1980-2000;first;three and more;15-30 minutes;economy;secondary;77;8;103636,4
11173;2010-2020;middle;three and more;15-30 minutes;economy;secondary;104,5;17,3;182583,7
11176;1960-1980;middle;three and more;15-30 minutes;economy;secondary;67;7;100000
11184;2000-2010;middle;one;15-30 minutes;economy;secondary;34,8;10,7;135057,5
11191;1980-2000;middle;two;15-30 minutes;economy;secondary;56;8,4;87410,7
11197;2010-2020;first;one;15-30 minutes;economy;primary;37,7;12,2;118852,7
11202;1980-2000;first;three and more;15-30 minutes;economy;secondary;67,5;9;96296,3
11203;1960-1980;middle;one;30-60 minutes;economy;secondary;34,8;8;100574,7
11204;1980-2000;middle;two;30-60 minutes;economy;secondary;51,5;9;106796,1
11207;2010-2020;middle;two;15-30 minutes;economy;secondary;66,8;18;119816
11208;2000-2010;middle;one;30-60 minutes;economy;secondary;56;14;133928,6
11229;2000-2010;first;one;15-30 minutes;economy;secondary;44,5;12,3;107865,2
11230;1960-1980;last;three and more;15-30 minutes;economy;secondary;41;6;101219,5
11234;2000-2010;middle;three and more;15-30 minutes;economy;primary;112,7;15,6;97604,3
11242;2010-2020;first;three and more;15-30 minutes;economy;primary;78,9;13,4;108091,5
11246;1960-1980;middle;two;less than 5 minutes;economy;secondary;46,4;8;119612,1
11251;2010-2020;middle;two;15-30 minutes;economy;secondary;58,4;10,7;116438,4
11252;2000-2010;middle;one;5-15 minutes;business;secondary;46,6;10;133047,2
11256;2010-2020;middle;three and more;5-15 minutes;economy;secondary;108,4;15,3;132979,7
11257;2010-2020;middle;two;less than 5 minutes;economy;secondary;79,5;17,8;159119,5
11260;2010-2020;middle;three and more;5-15 minutes;economy;secondary;89,5;14,6;188994,4
11265;2010-2020;middle;three and more;15-30 minutes;business;primary;113,8;12,1;110896,3
11266;2010-2020;middle;three and more;5-15 minutes;economy;secondary;100;14,8;140000
11267;2010-2020;middle;three and more;15-30 minutes;economy;secondary;78;11,6;115384,6
11268;1960-1980;middle;one;5-15 minutes;economy;secondary;31,1;5,5;125401,9
11270;1960-1980;middle;one;5-15 minutes;economy;secondary;36;8;208333,3
11273;2010-2020;middle;two;15-30 minutes;economy;secondary;57,7;11,4;97053,7
11275;1960-1980;middle;two;15-30 minutes;economy;secondary;51;10;113725,5
11276;1980-2000;middle;two;15-30 minutes;economy;secondary;51;9;109803,9
11288;1980-2000;middle;three and more;15-30 minutes;economy;secondary;78;15;87179,5
11292;1980-2000;middle;two;5-15 minutes;economy;secondary;51,9;7,5;106165,7
11294;1960-1980;middle;two;5-15 minutes;economy;secondary;43,8;7;102739,7
11295;2010-2020;middle;one;15-30 minutes;economy;secondary;33;9,2;130303
11300;1980-2000;last;one;15-30 minutes;economy;secondary;40,8;9,9;115196,1
11303;1960-1980;middle;three and more;15-30 minutes;economy;secondary;66;11;124242,4
11304;2010-2020;middle;one;15-30 minutes;economy;secondary;43,2;14,7;192129,6
11309;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60;17;90500
11310;1960-1980;first;one;15-30 minutes;economy;secondary;30;7;120000
11311;1960-1980;first;two;15-30 minutes;economy;secondary;44,7;6;91722,6
11312;2010-2020;middle;one;15-30 minutes;economy;secondary;38,9;10,7;119794,3
11320;2010-2020;middle;two;15-30 minutes;economy;secondary;57;12,2;100000
11323;1960-1980;last;two;15-30 minutes;economy;secondary;42;6;102381
11326;2010-2020;middle;one;15-30 minutes;economy;secondary;37,7;8,6;149867,4
11341;2010-2020;middle;one;30-60 minutes;comfort;secondary;35,3;8;99716,7
11344;1960-1980;middle;two;less than 5 minutes;economy;secondary;38;7;111842,1
11346;2000-2010;middle;one;less than 5 minutes;economy;secondary;40;9,4;155000
11350;2010-2020;middle;one;less than 5 minutes;economy;secondary;32;8,6;203125
11356;2000-2010;middle;one;15-30 minutes;business;secondary;46,9;13,4;118336,9
11357;1980-2000;middle;one;less than 5 minutes;economy;secondary;36;8;148611,1
11360;2000-2010;middle;two;15-30 minutes;economy;secondary;51;9;154902
11367;2010-2020;middle;three and more;15-30 minutes;economy;primary;82,7;14,6;116137,7
11370;1960-1980;middle;one;15-30 minutes;economy;secondary;32;6,4;115625
11371;2010-2020;middle;one;less than 5 minutes;economy;secondary;38;8,4;140789,5
11372;2010-2020;middle;two;15-30 minutes;economy;secondary;66;11;114393,9
11383;1980-2000;middle;three and more;less than 5 minutes;economy;secondary;58;6,2;112051,7
11384;2000-2010;middle;one;15-30 minutes;economy;secondary;24;5;177041,7
11390;1980-2000;middle;one;5-15 minutes;economy;secondary;39,6;7,3;125000
11407;1960-1980;middle;three and more;15-30 minutes;economy;secondary;74,8;7,9;100267,4
11412;2010-2020;middle;one;15-30 minutes;economy;secondary;40,2;14;126865,7
11418;2000-2010;middle;one;5-15 minutes;economy;secondary;45,7;14;122538,3
11421;1960-1980;middle;three and more;less than 5 minutes;economy;secondary;60,2;6,2;107973,4
11422;2000-2010;middle;one;5-15 minutes;comfort;secondary;38,8;9,2;128608,2
11424;2000-2010;middle;three and more;5-15 minutes;economy;secondary;108,8;14,7;160753,7
11425;1960-1980;middle;two;15-30 minutes;economy;secondary;48;7,1;108312,5
11427;2010-2020;middle;one;less than 5 minutes;economy;secondary;48,3;17,3;131470
11428;2010-2020;middle;three and more;30-60 minutes;comfort;secondary;89;16,3;138202,2
11429;1960-1980;last;two;15-30 minutes;economy;secondary;43,1;6;104408,4
11435;2010-2020;middle;three and more;15-30 minutes;economy;secondary;120;32;175000
11436;1980-2000;middle;three and more;less than 5 minutes;economy;secondary;79,8;14,9;97744,4
11440;2000-2010;middle;two;15-30 minutes;economy;secondary;69;11,3;133333,3
11442;2000-2010;middle;two;15-30 minutes;economy;secondary;70,5;12,7;95035,5
11444;1980-2000;first;one;15-30 minutes;economy;secondary;33,5;8,6;108955,2
11445;1960-1980;first;three and more;5-15 minutes;economy;secondary;49;5,1;89795,9
11448;2010-2020;middle;one;15-30 minutes;economy;secondary;34,9;10,4;108853,9
11449;1960-1980;middle;one;15-30 minutes;economy;secondary;40,5;7;106172,8
11450;1980-2000;middle;three and more;15-30 minutes;economy;secondary;60;7;95000
11452;2000-2010;last;two;15-30 minutes;economy;secondary;90;14;155000
11456;2010-2020;middle;two;15-30 minutes;economy;secondary;57,9;10,8;121588,9
11457;1960-1980;first;two;5-15 minutes;economy;secondary;46;7;79347,8
11461;2010-2020;middle;one;30-60 minutes;economy;secondary;41;9;107317,1
11464;2000-2010;middle;three and more;30-60 minutes;economy;secondary;117,6;38,2;107993,2
11466;2000-2010;first;three and more;15-30 minutes;economy;secondary;95,5;15,3;94240,8
11467;1960-1980;middle;one;15-30 minutes;economy;secondary;31;8,5;138709,7
11471;1960-1980;middle;one;30-60 minutes;economy;secondary;32;7;79687,5
11473;1960-1980;middle;three and more;5-15 minutes;economy;secondary;61;15;122147,5
11480;1960-1980;middle;three and more;15-30 minutes;economy;secondary;49;5,3;93877,6
11481;2010-2020;middle;two;15-30 minutes;economy;secondary;61,2;13,1;138888,9
11486;1980-2000;middle;three and more;15-30 minutes;economy;secondary;74,6;9;154155,5
11490;1980-2000;middle;one;15-30 minutes;economy;secondary;44,6;13,4;107623,3
11493;1960-1980;last;two;15-30 minutes;economy;secondary;44,7;6;109619,7
11494;2010-2020;middle;one;less than 5 minutes;economy;secondary;41,3;10,8;162227,6
11500;1960-1980;first;one;15-30 minutes;economy;secondary;31,4;5,5;89172
11502;2010-2020;middle;one;15-30 minutes;economy;secondary;23;5;127826,1
11503;2010-2020;middle;one;15-30 minutes;economy;secondary;24;4;181250
11504;2010-2020;middle;one;5-15 minutes;economy;secondary;40,2;10,8;162313,4
11511;2000-2010;middle;three and more;less than 5 minutes;economy;secondary;85;13;123529,4
11522;2000-2010;middle;two;15-30 minutes;economy;secondary;78,9;15;123574,1
11529;2010-2020;middle;three and more;15-30 minutes;economy;secondary;72,3;16,1;145228,2
11530;1960-1980;middle;one;30-60 minutes;economy;primary;33,3;10,5;112012
11532;1960-1980;middle;two;15-30 minutes;economy;secondary;43,1;5,3;85846,9
11539;1980-2000;middle;three and more;15-30 minutes;economy;secondary;90,3;15,5;94019,9
11541;2010-2020;middle;one;15-30 minutes;comfort;secondary;35,8;8,9;134357,5
11543;2000-2010;middle;three and more;15-30 minutes;economy;secondary;110;14;109081,8
11545;1960-1980;middle;three and more;15-30 minutes;economy;secondary;75;8;92000
11550;1960-1980;middle;two;less than 5 minutes;economy;secondary;44;6;121590,9
11564;2000-2010;middle;three and more;less than 5 minutes;business;secondary;87;9,4;201149,4
11566;2010-2020;middle;two;15-30 minutes;economy;secondary;57;15;96491,2
11567;2010-2020;middle;one;15-30 minutes;economy;secondary;40;16,1;130000
11571;2010-2020;middle;two;15-30 minutes;economy;secondary;92;23,9;134271,7
11572;2010-2020;middle;one;15-30 minutes;economy;secondary;66;23,1;182666,7
11574;2010-2020;middle;two;15-30 minutes;economy;secondary;53;14;109434
11575;2010-2020;middle;one;15-30 minutes;economy;secondary;33;8;127272,7
11584;1960-1980;first;one;less than 5 minutes;economy;secondary;35;7;128571,4
11585;2010-2020;middle;one;15-30 minutes;economy;secondary;43,1;15;104408,4
11586;1960-1980;first;two;15-30 minutes;economy;secondary;50,5;7,1;101980,2
11587;2000-2010;middle;three and more;5-15 minutes;economy;secondary;84,5;28;139645
11592;2010-2020;middle;one;15-30 minutes;economy;secondary;25;8;176000
11604;1960-1980;middle;two;15-30 minutes;economy;secondary;50;6,5;107800
11609;2000-2010;middle;one;15-30 minutes;economy;secondary;39;10;119230,8
11610;2000-2010;middle;two;15-30 minutes;economy;secondary;64;10,7;134375
11612;1960-1980;middle;three and more;15-30 minutes;economy;secondary;49,7;7;96579,5
11614;2010-2020;middle;one;5-15 minutes;economy;secondary;45;12;153663,3
11615;2000-2010;middle;two;15-30 minutes;economy;secondary;66,5;10,4;139849,6
11616;1960-1980;middle;three and more;15-30 minutes;economy;secondary;65,6;9,5;99085,4
11619;1980-2000;middle;three and more;5-15 minutes;economy;secondary;111;13,1;126126,1
11630;2010-2020;middle;three and more;15-30 minutes;economy;secondary;90;16;118888,9
11631;2000-2010;middle;two;less than 5 minutes;economy;secondary;67,5;18,4;151111,1
11633;1980-2000;middle;three and more;15-30 minutes;economy;secondary;57,2;6,1;90909,1
11635;2010-2020;middle;three and more;15-30 minutes;economy;secondary;81;12;123456,8
11641;2000-2010;middle;one;15-30 minutes;economy;secondary;48,5;10,3;152577,3
11645;2000-2010;middle;two;15-30 minutes;economy;secondary;52;6;148076,9
11646;2000-2010;middle;three and more;15-30 minutes;economy;secondary;129,6;36;153549,4
11647;1960-1980;last;two;5-15 minutes;economy;secondary;52;8;115384,6
11654;1960-1980;middle;one;5-15 minutes;economy;secondary;31,1;5,7;125401,9
11655;1960-1980;middle;three and more;15-30 minutes;economy;secondary;71,1;7;103375,5
11656;2010-2020;middle;two;5-15 minutes;economy;primary;64;23;112500
11657;2000-2010;middle;two;5-15 minutes;economy;secondary;42;9;119047,6
11667;1980-2000;middle;three and more;15-30 minutes;economy;secondary;71;8;88732,4
11671;1980-2000;middle;two;less than 5 minutes;economy;secondary;51,3;8;122807
11681;1960-1980;last;two;15-30 minutes;economy;secondary;45;5,6;117777,8
11682;2010-2020;middle;one;30-60 minutes;economy;secondary;30,6;5;104542,5
11683;2010-2020;middle;two;15-30 minutes;economy;secondary;55,8;9;127240,1
11688;1960-1980;last;two;15-30 minutes;economy;secondary;43;5,2;110000
11689;1980-2000;middle;two;15-30 minutes;economy;secondary;58;12,7;155172,4
11693;2010-2020;middle;one;30-60 minutes;economy;secondary;38;10,4;105000
11696;1960-1980;middle;two;5-15 minutes;economy;secondary;46;5,5;113043,5
11702;1960-1980;first;two;15-30 minutes;economy;secondary;46;6;102173,9
11705;2010-2020;middle;two;15-30 minutes;economy;secondary;68,3;13,9;115666,2
11706;1960-1980;middle;two;15-30 minutes;economy;secondary;42,4;5;113207,5
11707;2010-2020;middle;three and more;15-30 minutes;economy;secondary;105,7;20,4;178600
11708;1960-1980;last;two;15-30 minutes;economy;secondary;54;8;96296,3
11713;2010-2020;middle;two;30-60 minutes;economy;secondary;52;7;120961,5
11718;2010-2020;middle;three and more;15-30 minutes;economy;secondary;109,4;12,9;189447,6
11719;2010-2020;middle;three and more;less than 5 minutes;economy;secondary;85,9;16;133876,6
11720;2010-2020;middle;one;5-15 minutes;economy;secondary;34,3;7,4;148396,5
11723;2010-2020;middle;one;5-15 minutes;economy;secondary;43;10;186046,5
11728;1980-2000;middle;three and more;15-30 minutes;economy;secondary;99;15;93939,4
11730;2000-2010;middle;three and more;5-15 minutes;economy;secondary;80,7;9,1;121437,4
11738;2000-2010;middle;two;5-15 minutes;economy;secondary;80;19;181250
11740;1960-1980;middle;one;15-30 minutes;economy;secondary;35,4;6,8;121468,9
11741;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60,2;6,2;91362,1
11742;2000-2010;middle;two;15-30 minutes;economy;secondary;47;6;147872,3
11743;1960-1980;first;two;15-30 minutes;economy;secondary;44,9;7;115812,9
11748;1960-1980;last;one;5-15 minutes;economy;secondary;30;5;153333,3
11750;2000-2010;middle;two;15-30 minutes;business;secondary;70;17;125000
11755;2010-2020;middle;two;15-30 minutes;economy;secondary;70;16;207142,9
11758;2010-2020;middle;two;5-15 minutes;economy;secondary;59;11;201694,9
11760;1960-1980;middle;two;15-30 minutes;economy;secondary;45;8,2;93333,3
11768;1980-2000;middle;three and more;less than 5 minutes;economy;secondary;58;6,2;118965,5
11777;2010-2020;middle;two;5-15 minutes;economy;secondary;68;14;151470,6
11778;1960-1980;middle;two;15-30 minutes;economy;secondary;47,5;8,5;100000
11788;1960-1980;middle;three and more;30-60 minutes;economy;secondary;67,5;6,2;90370,4
11789;1980-2000;middle;two;15-30 minutes;economy;secondary;52,2;8,1;103256,7
11795;2010-2020;middle;one;15-30 minutes;comfort;secondary;36,2;10,3;113812,2
11796;1960-1980;middle;two;15-30 minutes;economy;secondary;45,8;6,8;117467,2
11797;1960-1980;middle;one;5-15 minutes;economy;secondary;32,3;6;123219,8
11809;2010-2020;middle;one;15-30 minutes;economy;secondary;46;12;105434,8
11810;2010-2020;middle;one;15-30 minutes;economy;secondary;36;9;135833,3
11811;1960-1980;middle;three and more;15-30 minutes;economy;secondary;73;8,9;100684,9
11814;2010-2020;last;two;15-30 minutes;economy;secondary;63,4;10,5;97791,8
11820;2000-2010;middle;one;30-60 minutes;economy;secondary;34,5;10;130434,8
11829;1960-1980;last;three and more;15-30 minutes;economy;secondary;60;8;88333,3
11834;1960-1980;middle;two;5-15 minutes;economy;secondary;50;8;124000
11837;2000-2010;middle;one;5-15 minutes;economy;primary;28;5;178571,4
11844;2010-2020;middle;one;15-30 minutes;economy;secondary;39,1;9,7;104859,3
11847;1960-1980;middle;three and more;15-30 minutes;economy;secondary;59;6;96610,2
11851;2010-2020;middle;one;15-30 minutes;economy;secondary;38,4;9,2;156250
11852;1980-2000;middle;one;5-15 minutes;economy;secondary;36;8;137500
11854;2000-2010;middle;one;15-30 minutes;economy;secondary;44,4;10,1;150675,7
11855;1980-2000;middle;two;15-30 minutes;economy;secondary;53;9;112264,2
11856;2000-2010;middle;one;5-15 minutes;economy;secondary;48,4;10,2;137190,1
11858;1980-2000;middle;three and more;15-30 minutes;economy;secondary;91,6;12,5;96615,7
11859;1960-1980;first;one;15-30 minutes;economy;secondary;32,4;5,4;111111,1
11862;1960-1980;middle;two;15-30 minutes;economy;secondary;45;7;113333,3
11864;2010-2020;middle;two;15-30 minutes;economy;secondary;61,5;20,3;97561
11868;2010-2020;last;two;less than 5 minutes;economy;primary;69,2;13,4;209180
11870;1980-2000;last;three and more;15-30 minutes;economy;secondary;57,2;6,2;113636,4
11881;2000-2010;middle;two;30-60 minutes;economy;secondary;66,4;11;125602,4
11882;1960-1980;last;three and more;5-15 minutes;economy;secondary;57,7;6;96187,2
11884;1960-1980;middle;one;15-30 minutes;economy;secondary;32;8,1;112500
11885;1960-1980;last;one;30-60 minutes;economy;secondary;31,3;5,5;121405,8
11891;2010-2020;middle;three and more;15-30 minutes;economy;secondary;82;21;213414,6
11892;1960-1980;first;two;15-30 minutes;economy;secondary;50,6;9,5;93873,5
11904;2010-2020;last;two;30-60 minutes;economy;secondary;100;25;112000
11905;2010-2020;middle;one;15-30 minutes;economy;primary;28;6;116071,4
11907;2000-2010;middle;two;15-30 minutes;economy;secondary;82;29;119512,2
11909;2010-2020;middle;two;15-30 minutes;economy;secondary;65;11;104461,5
11911;2010-2020;middle;two;15-30 minutes;economy;secondary;65;14;100769,2
11920;2010-2020;middle;one;15-30 minutes;economy;secondary;32,2;8,2;124223,6
11921;2010-2020;middle;one;less than 5 minutes;economy;secondary;43;15,2;209302,3
11922;1960-1980;middle;one;30-60 minutes;economy;secondary;35;7,8;102571,4
11932;2000-2010;middle;one;15-30 minutes;economy;secondary;38;10;130263,2
11934;1980-2000;middle;three and more;15-30 minutes;economy;secondary;86,6;11,5;100461,9
11936;2000-2010;middle;two;15-30 minutes;economy;secondary;64;11,8;134375
11939;1980-2000;first;two;less than 5 minutes;economy;secondary;83,2;21,2;82812,5
11941;2010-2020;middle;two;5-15 minutes;economy;secondary;63,8;14,2;164576,8
11953;2000-2010;middle;one;15-30 minutes;economy;secondary;46,5;19,5;124516,1
11959;1960-1980;middle;three and more;30-60 minutes;economy;secondary;62;6;94838,7
11962;1980-2000;middle;three and more;15-30 minutes;economy;secondary;81;20;119753,1
11963;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60;6;87500
11967;1960-1980;first;three and more;5-15 minutes;economy;secondary;60;7;100000
11968;1980-2000;middle;one;5-15 minutes;economy;primary;33,4;12,2;149700,6
11970;2000-2010;middle;one;5-15 minutes;economy;secondary;57;11;104912,3
11971;1960-1980;first;three and more;15-30 minutes;economy;secondary;63;10;98412,7
11980;2010-2020;middle;one;5-15 minutes;economy;secondary;44,4;10,1;186936,9
11987;2010-2020;middle;three and more;5-15 minutes;business;primary;112,6;35,3;155106,6
11988;2010-2020;middle;three and more;15-30 minutes;business;primary;85,3;12;120105,5
11993;1960-1980;first;three and more;15-30 minutes;economy;secondary;56;6;77678,6
11995;1980-2000;middle;one;15-30 minutes;economy;secondary;39,7;7,1;108312,3
12009;1960-1980;last;two;5-15 minutes;economy;secondary;55;9;127272,7
12011;1960-1980;middle;three and more;15-30 minutes;economy;secondary;60;7,4;95833,3
12026;1960-1980;last;two;15-30 minutes;economy;secondary;45,1;6,3;90909,1
12031;1960-1980;middle;three and more;5-15 minutes;economy;secondary;59;7;108474,6
12047;1960-1980;middle;one;less than 5 minutes;economy;secondary;32;12;118750
12050;1980-2000;middle;three and more;15-30 minutes;economy;secondary;75;8,1;87066,7
12057;2010-2020;last;one;15-30 minutes;economy;secondary;32,6;10;141104,3
12063;1960-1980;middle;two;5-15 minutes;economy;secondary;42,4;5,2;115566
12064;2010-2020;middle;two;15-30 minutes;economy;primary;55,7;9,2;119032
12074;2010-2020;middle;one;15-30 minutes;comfort;secondary;29,7;5,5;136700,3
12079;2010-2020;middle;one;15-30 minutes;economy;secondary;57;16,1;109649,1
12083;2010-2020;middle;one;5-15 minutes;economy;secondary;60;23,5;165833,3
12091;1960-1980;middle;two;30-60 minutes;economy;secondary;44;6;102250
12097;2010-2020;middle;one;5-15 minutes;economy;primary;46,4;15,6;154345,7
12106;2010-2020;middle;two;15-30 minutes;economy;secondary;59;13;132203,4
12109;1960-1980;last;three and more;15-30 minutes;economy;secondary;63,7;9,6;91836,7
12120;2010-2020;middle;two;15-30 minutes;economy;secondary;76;21,5;175131,6
12124;2010-2020;middle;one;15-30 minutes;economy;secondary;37,4;9,8;104278,1
12128;1960-1980;middle;three and more;5-15 minutes;economy;secondary;49;5,3;91836,7
12129;2000-2010;middle;one;15-30 minutes;economy;secondary;45,7;12,5;142231,9
