Address,Title
"Нижний Новгород, ул.Гвардейцев, 7",Детский сад №75
"Нижний Новгород, ул.Клюева, 12",Детский сад №76
"Нижний Новгород, ул.Газовская, 15",Детский сад №77
"Нижний Новгород, ул.Ногина, 7а",Детский сад №77
"Нижний Новгород, ул.Дьяконова, 16а",Детский сад №79
"Нижний Новгород, ул.Веденяпина, 5а",Детский сад №80
"Нижний Новгород, пр.Кирова, 24а",Детский сад №81
"Нижний Новгород, ул.Зеленодольская, 50",Детский сад №82
"Нижний Новгород, ул.Чаадаева, 15а","Детский сад №83, корпус №1"
"Нижний Новгород, ул.Баранова, 1а","Детский сад №83, корпус №2 (бывший детский сад №43)"
"Нижний Новгород, ул.Павлова, 13а",Детский сад №84
"Нижний Новгород, б-р Южный, 12",Детский сад №85
"Нижний Новгород, ул.Выборгская, 7а",Детский сад №86
"Нижний Новгород, ул.Ильинская, 168",Детский сад №86
"Нижний Новгород, ул.Зенитчиков, 15а",Детский сад №87
"Нижний Новгород, ул.Маршала Жукова, 27",Детский сад №87
"Нижний Новгород, ул.Гайдара, 20",Детский сад №90
"Нижний Новгород, ул.Мокроусова, 10а",Детский сад №90
"Нижний Новгород, ул.Дьяконова, 2а",Детский сад №91
"Нижний Новгород, ул.Куйбышева, 27",Детский сад №93
"Нижний Новгород, ул.Куйбышева, 25",Детский сад №93 (бывший детский сад №264)
"Нижний Новгород, ул.Комсомольская, 15",Детский сад №94
"Нижний Новгород, ул.Березовская, 89б",Детский сад №94
"Нижний Новгород, пр.Бусыгина, 22а",Детский сад №95
"Нижний Новгород, ул.Планетная, 38а",Детский сад №95
"Нижний Новгород, ул.Школьная, 2",Детский сад №96
"Нижний Новгород, ул.Шимборского, 3а","Детский сад №96, здание 1"
"Нижний Новгород, ул.Шимборского, 13","Детский сад №96, здание 2 (бывший детский сад №362)"
"Нижний Новгород, ул.Арктическая, 4а",Детский сад №97
"Нижний Новгород, ул.Дегтярева, 26а",Детский сад №98
"Нижний Новгород, ул.Федосеенко, 16",Детский сад №98
"Нижний Новгород, ул.Дегтярева, 13",Детский сад №98 (бывший детский сад №21)
"Нижний Новгород, ул.Баренца, 15а",Детский сад №99
"Нижний Новгород, ул.Ляхова, 90",Детский сад №101
"Нижний Новгород, ул.Рыбакова, 13","Детский сад №101, здание №1"
"Нижний Новгород, ул.Рыбакова, 12","Детский сад №101, здание №2 (бывший детский сад №104)"
"Нижний Новгород, ул.Обнорского, 8а",Детский сад №102
"Нижний Новгород, пр.Молодежный, 17а",Детский сад №102 (бывший детский сад №23)
"Нижний Новгород, ул.Коминтерна, 193а","Детский сад №102, здание №1"
"Нижний Новгород, ул.Баррикад, 181а","Детский сад №102, здание №2 (бывший детский сад №305)"
"Нижний Новгород, ул.Путейская, 45",Детский сад №103
"Нижний Новгород, пер.Райниса, 3а","Детский сад №103, здание №1"
"Нижний Новгород, пр.Ленина, 74","Детский сад №103, здание №2"
"Нижний Новгород, ул.Райниса, 9","Детский сад №103, здание №3"
"Нижний Новгород, пер.Райниса, 6","Детский сад №103, здание №4"
"Нижний Новгород, ул.Мельникова, 28а",Детский сад №104
"Нижний Новгород, ул.Мельникова, 24",Детский сад №105
"Нижний Новгород, ул.Львовская, 38а",Детский сад №106
"Нижний Новгород, Южное ш., 30а, корп.1",Детский сад №107
"Нижний Новгород, ул.Васильева, 18а",Детский сад №108
"Нижний Новгород, ул.Веденяпина, 25а",Детский сад №109
"Нижний Новгород, 6 мкрн, 39а",Детский сад №110
"Нижний Новгород, 6 мкрн, 39б",Детский сад №111
"Нижний Новгород, ул.Львовская, 5б",Детский сад №112
"Нижний Новгород, ул.Фучика, 39а",Детский сад №113
"Нижний Новгород, ул.Тихорецкая, 3",Детский сад №113
