Address,Title
"Нижний Новгород, ул.Родионова, 201",Школа №102
"Нижний Новгород, ул.Верхнепечерская, 10",Школа №103
"Нижний Новгород, ул.Автомеханическая, 13а",Школа №105
"Нижний Новгород, б-р Заречный, 16",Школа №106
"Нижний Новгород, ул.Снежная, 33",Школа №107
"Нижний Новгород, Московское ш., 248","Школа №109, второе здание (бывшая школа №98)"
"Нижний Новгород, ул.Якорная, 121","Школа №109, основное здание"
"Нижний Новгород, ул.Акимова, 35",Школа №110
"Нижний Новгород, ул.Веденяпина, 30а",Школа №111
"Нижний Новгород, пер.Плотничный, 18в",Школа №113
"Нижний Новгород, ул.Земляничная, 1а",Школа №114
"Нижний Новгород, ул.Просвещенская, 4","Школа №115, корпус 1"
"Нижний Новгород, ул.50-летия Победы, 24","Школа №115, корус 2 (бывшая школа №68)"
"Нижний Новгород, ул.Меднолитейная, 1а",Школа №116 им.В.П.Чкалова
"Нижний Новгород, ул.Чайковского, 12",Школа №117
"Нижний Новгород, ул.Народная, 4",Школа №118
"Нижний Новгород, ул.Дружаева, 5б",Школа №119
"Нижний Новгород, ул.Гончарова, 12",Школа №120
"Нижний Новгород, ул.Тонкинская, 4",Школа №121
"Нижний Новгород, ул.Тонкинская, 2",Школа №121 (бывший Центр образования Канавинского района)
"Нижний Новгород, ул.Верхняя, 8","Школа №122, с дошкольными отделениями №296, №253"
"Нижний Новгород, ул.Дружбы, 50",Школа №123
"Нижний Новгрод, ул.Строкина, 12а",Школа №124
"Нижний Новгрод, ул.Пермякова, 26",Школа №125
"Нижний Новгород, пр.Молодежный, 30а",Школа №126
"Нижний Новгород, ул.Комсомольская, 10а",Школа №127
"Нижний Новгород, ул.Мончегорская, 33а",Школа №128
"Нижний Новгород, ул.Лескова, 66а",Школа №129
"Нижний Новгород, ул.Краснодонцев, 1а",Школа №130
"Нижний Новгород, пр.Октября, 14",Школа №133
"Нижний Новгород, ул.40 лет Победы, 16",Школа №134
"Нижний Новгород, ул.Корейская, 22",Школа №135
"Нижний Новгород, ул.Дьяконова, 1б",Гимназия №136
"Нижний Новгород, ул.Смирнова, 52а",Школа №137
"Нижний Новгород, ул.Завкомовская, 1",Школа №138
"Нижний Новгород, ул.Давыдова, 13",Школа №139
"Нижний Новгород, ул.Ветлужская, 2",Школа №140
"Нижний Новгород, ул.Вождей Революции, 29",Школа №141
"Нижний Новгород, ул.Гайдара, 16",Школа №142
"Нижний Новгород, ул.Красных Партизан, 8а",Школа №144
"Нижний Новгород, пос.Новое Доскино, 19-я линия, 25",Школа №145
"Нижний Новгород, п.Березовая пойма, ул.Лучистая 4",Школа №146
"Нижний Новгород, ул.Куйбышева, 29",Школа №149
"Нижний Новгород, Московское ш., 106",Школа №150
"Нижний Новгород, ул.Бориса Панина, 8/54",Школа №151
"Нижний Новгород, ул.40 лет Октября, 2",Школа №154
"Нижний Новгород, ул.Красносормовская, 4б",Школа №156 им.Б.И.Рябцева
"Нижний Новгород, пер.Общественный, 2",Школа №156 им.Б.И.Рябцева (бывшая школа №90)
